Rating Date,Team,Division,Absolute Ranking
11/12/2022 (v6.4),Arizona Coyotes,CEN,28.0
11/12/2022 (v6.4),Boston Bruins,ATL,1.0
11/12/2022 (v6.4),Buffalo Sabres,ATL,20.0
11/12/2022 (v6.4),Calgary Flames,CEN,13.0
11/12/2022 (v6.4),Carolina Hurricanes,MET,11.0
11/12/2022 (v6.4),Chicago Blackhawks,CEN,31.0
11/12/2022 (v6.4),Colorado Avalanche,CEN,16.0
11/12/2022 (v6.4),Columbus Blue Jackets,MET,29.0
11/12/2022 (v6.4),Dallas Stars,CEN,5.0
11/12/2022 (v6.4),Detroit Red Wings,ATL,21.0
11/12/2022 (v6.4),Edmonton Oilers,PAC,10.0
11/12/2022 (v6.4),Florida Panthers,ATL,18.0
11/12/2022 (v6.4),Los Angeles Kings,PAC,17.0
11/12/2022 (v6.4),Minnesota Wild,CEN,19.0
11/12/2022 (v6.4),Montréal Canadiens,ATL,25.0
11/12/2022 (v6.4),Nashville Predators,CEN,23.0
11/12/2022 (v6.4),New Jersey Devils,MET,2.0
11/12/2022 (v6.4),New York Islanders,MET,8.0
11/12/2022 (v6.4),New York Rangers,MET,14.0
11/12/2022 (v6.4),Ottawa Senators,ATL,22.0
11/12/2022 (v6.4),Philadelphia Flyers,MET,27.0
11/12/2022 (v6.4),Pittsburgh Penguins,MET,7.0
11/12/2022 (v6.4),San Jose Sharks,PAC,26.0
11/12/2022 (v6.4),Seattle Kraken,PAC,9.0
11/12/2022 (v6.4),St. Louis Blues,CEN,30.0
11/12/2022 (v6.4),Tampa Bay Lightning,ATL,6.0
11/12/2022 (v6.4),Toronto Maple Leafs,ATL,3.0
11/12/2022 (v6.4),Vancouver Canucks,PAC,24.0
11/12/2022 (v6.4),Vegas Golden Knights,PAC,12.0
11/12/2022 (v6.4),Washington Capitals,MET,15.0
11/12/2022 (v6.4),Winnipeg Jets,CEN,4.0
18/12/2022 (v6.4),Anaheim Ducks,PAC,32.0
18/12/2022 (v6.4),Arizona Coyotes,CEN,28.0
18/12/2022 (v6.4),Boston Bruins,ATL,1.0
18/12/2022 (v6.4),Buffalo Sabres,ATL,20.0
18/12/2022 (v6.4),Calgary Flames,CEN,16.0
18/12/2022 (v6.4),Carolina Hurricanes,MET,8.0
18/12/2022 (v6.4),Chicago Blackhawks,CEN,31.0
18/12/2022 (v6.4),Colorado Avalanche,CEN,17.0
18/12/2022 (v6.4),Columbus Blue Jackets,MET,30.0
18/12/2022 (v6.4),Dallas Stars,CEN,5.0
18/12/2022 (v6.4),Detroit Red Wings,ATL,23.0
18/12/2022 (v6.4),Edmonton Oilers,PAC,12.0
18/12/2022 (v6.4),Florida Panthers,ATL,19.0
18/12/2022 (v6.4),Los Angeles Kings,PAC,21.0
18/12/2022 (v6.4),Minnesota Wild,CEN,15.0
18/12/2022 (v6.4),Montréal Canadiens,ATL,29.0
18/12/2022 (v6.4),Nashville Predators,CEN,25.0
18/12/2022 (v6.4),New Jersey Devils,MET,3.0
18/12/2022 (v6.4),New York Islanders,MET,10.0
18/12/2022 (v6.4),New York Rangers,MET,9.0
18/12/2022 (v6.4),Ottawa Senators,ATL,18.0
18/12/2022 (v6.4),Philadelphia Flyers,MET,27.0
18/12/2022 (v6.4),Pittsburgh Penguins,MET,7.0
18/12/2022 (v6.4),San Jose Sharks,PAC,26.0
18/12/2022 (v6.4),Seattle Kraken,PAC,14.0
18/12/2022 (v6.4),St. Louis Blues,CEN,24.0
18/12/2022 (v6.4),Tampa Bay Lightning,ATL,2.0
18/12/2022 (v6.4),Toronto Maple Leafs,ATL,4.0
18/12/2022 (v6.4),Vancouver Canucks,PAC,22.0
18/12/2022 (v6.4),Vegas Golden Knights,PAC,13.0
18/12/2022 (v6.4),Washington Capitals,MET,11.0
18/12/2022 (v6.4),Winnipeg Jets,CEN,6.0
24/12/2022 (v6.5),Anaheim Ducks,PAC,32.0
24/12/2022 (v6.5),Arizona Coyotes,CEN,28.0
24/12/2022 (v6.5),Boston Bruins,ATL,1.0
24/12/2022 (v6.5),Buffalo Sabres,ATL,17.0
24/12/2022 (v6.5),Calgary Flames,CEN,14.0
24/12/2022 (v6.5),Carolina Hurricanes,MET,3.0
24/12/2022 (v6.5),Chicago Blackhawks,CEN,31.0
24/12/2022 (v6.5),Colorado Avalanche,CEN,15.0
24/12/2022 (v6.5),Columbus Blue Jackets,MET,30.0
24/12/2022 (v6.5),Dallas Stars,CEN,5.0
24/12/2022 (v6.5),Detroit Red Wings,ATL,24.0
24/12/2022 (v6.5),Edmonton Oilers,PAC,13.0
24/12/2022 (v6.5),Florida Panthers,ATL,21.0
24/12/2022 (v6.5),Los Angeles Kings,PAC,19.0
24/12/2022 (v6.5),Minnesota Wild,CEN,18.0
24/12/2022 (v6.5),Montréal Canadiens,ATL,29.0
24/12/2022 (v6.5),Nashville Predators,CEN,25.0
24/12/2022 (v6.5),New Jersey Devils,MET,4.0
24/12/2022 (v6.5),New York Islanders,MET,10.0
24/12/2022 (v6.5),New York Rangers,MET,8.0
24/12/2022 (v6.5),Ottawa Senators,ATL,20.0
24/12/2022 (v6.5),Philadelphia Flyers,MET,27.0
24/12/2022 (v6.5),Pittsburgh Penguins,MET,6.0
24/12/2022 (v6.5),San Jose Sharks,PAC,26.0
24/12/2022 (v6.5),Seattle Kraken,PAC,12.0
24/12/2022 (v6.5),St. Louis Blues,CEN,23.0
24/12/2022 (v6.5),Tampa Bay Lightning,ATL,7.0
24/12/2022 (v6.5),Toronto Maple Leafs,ATL,2.0
24/12/2022 (v6.5),Vancouver Canucks,PAC,22.0
24/12/2022 (v6.5),Vegas Golden Knights,PAC,16.0
24/12/2022 (v6.5),Washington Capitals,MET,9.0
24/12/2022 (v6.5),Winnipeg Jets,CEN,11.0
27/12/2022 (v6.5),Anaheim Ducks,PAC,32.0
27/12/2022 (v6.5),Arizona Coyotes,CEN,23.0
27/12/2022 (v6.5),Boston Bruins,ATL,1.0
27/12/2022 (v6.5),Buffalo Sabres,ATL,18.0
27/12/2022 (v6.5),Calgary Flames,CEN,14.0
27/12/2022 (v6.5),Carolina Hurricanes,MET,3.0
27/12/2022 (v6.5),Chicago Blackhawks,CEN,31.0
27/12/2022 (v6.5),Colorado Avalanche,CEN,17.0
27/12/2022 (v6.5),Columbus Blue Jackets,MET,30.0
27/12/2022 (v6.5),Dallas Stars,CEN,4.0
27/12/2022 (v6.5),Detroit Red Wings,ATL,25.0
27/12/2022 (v6.5),Edmonton Oilers,PAC,11.0
27/12/2022 (v6.5),Florida Panthers,ATL,21.0
27/12/2022 (v6.5),Los Angeles Kings,PAC,19.0
27/12/2022 (v6.5),Minnesota Wild,CEN,15.0
27/12/2022 (v6.5),Montréal Canadiens,ATL,29.0
27/12/2022 (v6.5),Nashville Predators,CEN,27.0
27/12/2022 (v6.5),New Jersey Devils,MET,5.0
27/12/2022 (v6.5),New York Islanders,MET,10.0
27/12/2022 (v6.5),New York Rangers,MET,9.0
27/12/2022 (v6.5),Ottawa Senators,ATL,20.0
27/12/2022 (v6.5),Philadelphia Flyers,MET,28.0
27/12/2022 (v6.5),Pittsburgh Penguins,MET,6.0
27/12/2022 (v6.5),San Jose Sharks,PAC,26.0
27/12/2022 (v6.5),Seattle Kraken,PAC,12.0
27/12/2022 (v6.5),St. Louis Blues,CEN,24.0
27/12/2022 (v6.5),Tampa Bay Lightning,ATL,7.0
27/12/2022 (v6.5),Toronto Maple Leafs,ATL,2.0
27/12/2022 (v6.5),Vancouver Canucks,PAC,22.0
27/12/2022 (v6.5),Vegas Golden Knights,PAC,16.0
27/12/2022 (v6.5),Washington Capitals,MET,8.0
27/12/2022 (v6.5),Winnipeg Jets,CEN,13.0
29/12/2022 (v6.5),Anaheim Ducks,PAC,32.0
29/12/2022 (v6.5),Arizona Coyotes,CEN,24.0
29/12/2022 (v6.5),Boston Bruins,ATL,1.0
29/12/2022 (v6.5),Buffalo Sabres,ATL,16.0
29/12/2022 (v6.5),Calgary Flames,CEN,12.0
29/12/2022 (v6.5),Carolina Hurricanes,MET,3.0
29/12/2022 (v6.5),Chicago Blackhawks,CEN,31.0
29/12/2022 (v6.5),Colorado Avalanche,CEN,17.0
29/12/2022 (v6.5),Columbus Blue Jackets,MET,30.0
29/12/2022 (v6.5),Dallas Stars,CEN,4.0
29/12/2022 (v6.5),Detroit Red Wings,ATL,23.0
29/12/2022 (v6.5),Edmonton Oilers,PAC,11.0
29/12/2022 (v6.5),Florida Panthers,ATL,21.0
29/12/2022 (v6.5),Los Angeles Kings,PAC,19.0
29/12/2022 (v6.5),Minnesota Wild,CEN,15.0
29/12/2022 (v6.5),Montréal Canadiens,ATL,29.0
29/12/2022 (v6.5),Nashville Predators,CEN,27.0
29/12/2022 (v6.5),New Jersey Devils,MET,6.0
29/12/2022 (v6.5),New York Islanders,MET,8.0
29/12/2022 (v6.5),New York Rangers,MET,10.0
29/12/2022 (v6.5),Ottawa Senators,ATL,20.0
29/12/2022 (v6.5),Philadelphia Flyers,MET,26.0
29/12/2022 (v6.5),Pittsburgh Penguins,MET,9.0
29/12/2022 (v6.5),San Jose Sharks,PAC,28.0
29/12/2022 (v6.5),Seattle Kraken,PAC,13.0
29/12/2022 (v6.5),St. Louis Blues,CEN,25.0
29/12/2022 (v6.5),Tampa Bay Lightning,ATL,5.0
29/12/2022 (v6.5),Toronto Maple Leafs,ATL,2.0
29/12/2022 (v6.5),Vancouver Canucks,PAC,22.0
29/12/2022 (v6.5),Vegas Golden Knights,PAC,18.0
29/12/2022 (v6.5),Washington Capitals,MET,7.0
29/12/2022 (v6.5),Winnipeg Jets,CEN,14.0
01/01/2023 (v6.5),Anaheim Ducks,PAC,32.0
01/01/2023 (v6.5),Arizona Coyotes,CEN,22.0
01/01/2023 (v6.5),Boston Bruins,ATL,1.0
01/01/2023 (v6.5),Buffalo Sabres,ATL,16.0
01/01/2023 (v6.5),Calgary Flames,CEN,13.0
01/01/2023 (v6.5),Carolina Hurricanes,MET,3.0
01/01/2023 (v6.5),Chicago Blackhawks,CEN,31.0
01/01/2023 (v6.5),Colorado Avalanche,CEN,18.0
01/01/2023 (v6.5),Columbus Blue Jackets,MET,29.0
01/01/2023 (v6.5),Dallas Stars,CEN,4.0
01/01/2023 (v6.5),Detroit Red Wings,ATL,23.0
01/01/2023 (v6.5),Edmonton Oilers,PAC,12.0
01/01/2023 (v6.5),Florida Panthers,ATL,21.0
01/01/2023 (v6.5),Los Angeles Kings,PAC,19.0
01/01/2023 (v6.5),Minnesota Wild,CEN,15.0
01/01/2023 (v6.5),Montréal Canadiens,ATL,30.0
01/01/2023 (v6.5),Nashville Predators,CEN,27.0
01/01/2023 (v6.5),New Jersey Devils,MET,5.0
01/01/2023 (v6.5),New York Islanders,MET,8.0
01/01/2023 (v6.5),New York Rangers,MET,9.0
01/01/2023 (v6.5),Ottawa Senators,ATL,20.0
01/01/2023 (v6.5),Philadelphia Flyers,MET,24.0
01/01/2023 (v6.5),Pittsburgh Penguins,MET,11.0
01/01/2023 (v6.5),San Jose Sharks,PAC,28.0
01/01/2023 (v6.5),Seattle Kraken,PAC,14.0
01/01/2023 (v6.5),St. Louis Blues,CEN,25.0
01/01/2023 (v6.5),Tampa Bay Lightning,ATL,6.0
01/01/2023 (v6.5),Toronto Maple Leafs,ATL,2.0
01/01/2023 (v6.5),Vancouver Canucks,PAC,26.0
01/01/2023 (v6.5),Vegas Golden Knights,PAC,17.0
01/01/2023 (v6.5),Washington Capitals,MET,7.0
01/01/2023 (v6.5),Winnipeg Jets,CEN,10.0
15/01/2023 (v6.5),Anaheim Ducks,PAC,32.0
