Rating Date,Team,Division,Offensive Rating
18/12/2022 (v6.4),New York Islanders,MET,0.5274918588112969
18/12/2022 (v6.4),New York Rangers,MET,0.592371224955933
18/12/2022 (v6.4),Ottawa Senators,ATL,0.7015544499445883
18/12/2022 (v6.4),Philadelphia Flyers,MET,0.09111283495316509
18/12/2022 (v6.4),Pittsburgh Penguins,MET,0.7494779822230144
18/12/2022 (v6.4),San Jose Sharks,PAC,0.36799386607781454
18/12/2022 (v6.4),Seattle Kraken,PAC,0.5620244227688276
18/12/2022 (v6.4),St. Louis Blues,CEN,0.31289102260637097
18/12/2022 (v6.4),Tampa Bay Lightning,ATL,0.7945172480183765
18/12/2022 (v6.4),Toronto Maple Leafs,ATL,0.5719762868095668
18/12/2022 (v6.4),Vancouver Canucks,PAC,0.6194056834237135
18/12/2022 (v6.4),Vegas Golden Knights,PAC,0.6837950278914642
18/12/2022 (v6.4),Washington Capitals,MET,0.4261938795924337
18/12/2022 (v6.4),Winnipeg Jets,CEN,0.6134758820572042
24/12/2022 (v6.5),Anaheim Ducks,PAC,0.0854320233983247
24/12/2022 (v6.5),Arizona Coyotes,CEN,0.10500896551714525
24/12/2022 (v6.5),Boston Bruins,ATL,0.9447384352942996
24/12/2022 (v6.5),Buffalo Sabres,ATL,0.8693720087859717
24/12/2022 (v6.5),Calgary Flames,CEN,0.5577218807675166
24/12/2022 (v6.5),Carolina Hurricanes,MET,0.5092110399834849
24/12/2022 (v6.5),Chicago Blackhawks,CEN,0.11522054869092734
24/12/2022 (v6.5),Colorado Avalanche,CEN,0.550910492460812
24/12/2022 (v6.5),Columbus Blue Jackets,MET,0.13509660629092696
24/12/2022 (v6.5),Dallas Stars,CEN,0.7970226685251871
24/12/2022 (v6.5),Detroit Red Wings,ATL,0.30012872514296696
24/12/2022 (v6.5),Edmonton Oilers,PAC,0.8429974191333969
24/12/2022 (v6.5),Florida Panthers,ATL,0.6337765619263223
24/12/2022 (v6.5),Los Angeles Kings,PAC,0.6191233466814062
24/12/2022 (v6.5),Minnesota Wild,CEN,0.5055225150063664
24/12/2022 (v6.5),Montréal Canadiens,ATL,0.0961648560083307
24/12/2022 (v6.5),Nashville Predators,CEN,0.14636061551314447
24/12/2022 (v6.5),New Jersey Devils,MET,0.7203263216809477
24/12/2022 (v6.5),New York Islanders,MET,0.46579847088123416
24/12/2022 (v6.5),New York Rangers,MET,0.6482196945904424
24/12/2022 (v6.5),Ottawa Senators,ATL,0.6125088290257662
24/12/2022 (v6.5),Philadelphia Flyers,MET,0.10501931710675766
24/12/2022 (v6.5),Pittsburgh Penguins,MET,0.7320985440650302
24/12/2022 (v6.5),San Jose Sharks,PAC,0.3744897537322659
24/12/2022 (v6.5),Seattle Kraken,PAC,0.5784119903050844
