Rating Date,Team,Division,Recent Form
27/11/2022 (v6.2),Tampa Bay Lightning,ATL,0.7037167310325143
27/11/2022 (v6.2),Toronto Maple Leafs,ATL,0.8155486723934643
27/11/2022 (v6.2),Vancouver Canucks,PAC,0.48300742527405394
27/11/2022 (v6.2),Vegas Golden Knights,PAC,0.48300742527405394
27/11/2022 (v6.2),Washington Capitals,MET,0.26873446122836203
27/11/2022 (v6.2),Winnipeg Jets,CEN,0.8156889898450562
04/12/2022 (v6.2),Anaheim Ducks,PAC,0.057225339339510815
04/12/2022 (v6.2),Arizona Coyotes,CEN,0.07806824842424584
04/12/2022 (v6.2),Boston Bruins,ATL,0.9715592711526712
04/12/2022 (v6.2),Buffalo Sabres,ATL,0.10574643837740993
04/12/2022 (v6.2),Calgary Flames,CEN,0.46622918720303946
04/12/2022 (v6.2),Carolina Hurricanes,MET,0.703399510596946
04/12/2022 (v6.2),Chicago Blackhawks,CEN,0.04169546587823243
04/12/2022 (v6.2),Colorado Avalanche,CEN,0.6298552880629767
04/12/2022 (v6.2),Columbus Blue Jackets,MET,0.5492531313909371
04/12/2022 (v6.2),Dallas Stars,CEN,0.8220683741223251
04/12/2022 (v6.2),Detroit Red Wings,ATL,0.30956056425518236
04/12/2022 (v6.2),Edmonton Oilers,PAC,0.6298552880629767
04/12/2022 (v6.2),Florida Panthers,ATL,0.3847980876615216
04/12/2022 (v6.2),Los Angeles Kings,PAC,0.18708556542465263
04/12/2022 (v6.2),Minnesota Wild,CEN,0.703608060922502
04/12/2022 (v6.2),Montréal Canadiens,ATL,0.38503480270889023
04/12/2022 (v6.2),Nashville Predators,CEN,0.8658051193386206
04/12/2022 (v6.2),New Jersey Devils,MET,0.9460478072857925
04/12/2022 (v6.2),New York Islanders,MET,0.6298552880629767
04/12/2022 (v6.2),New York Rangers,MET,0.30956056425518236
04/12/2022 (v6.2),Ottawa Senators,ATL,0.38503480270889023
04/12/2022 (v6.2),Philadelphia Flyers,MET,0.030215589981939912
04/12/2022 (v6.2),Pittsburgh Penguins,MET,0.8658051193386206
04/12/2022 (v6.2),San Jose Sharks,PAC,0.10574643837740993
04/12/2022 (v6.2),Seattle Kraken,PAC,0.8658051193386206
04/12/2022 (v6.2),St. Louis Blues,CEN,0.38503480270889023
04/12/2022 (v6.2),Tampa Bay Lightning,ATL,0.9263038699752297
04/12/2022 (v6.2),Toronto Maple Leafs,ATL,0.9262355876081219
04/12/2022 (v6.2),Vancouver Canucks,PAC,0.6298552880629767
04/12/2022 (v6.2),Vegas Golden Knights,PAC,0.46622918720303946
04/12/2022 (v6.2),Washington Capitals,MET,0.14160747671492335
04/12/2022 (v6.2),Winnipeg Jets,CEN,0.6298552880629767
11/12/2022 (v6.4),Anaheim Ducks,PAC,0.07680868430242138
11/12/2022 (v6.4),Arizona Coyotes,CEN,0.15795953067065577
11/12/2022 (v6.4),Boston Bruins,ATL,0.769028180445991
11/12/2022 (v6.4),Buffalo Sabres,ATL,0.49629916838568733
11/12/2022 (v6.4),Calgary Flames,CEN,0.3077771785554088
11/12/2022 (v6.4),Carolina Hurricanes,MET,0.6937595228289292
11/12/2022 (v6.4),Chicago Blackhawks,CEN,0.017957848938008523
11/12/2022 (v6.4),Colorado Avalanche,CEN,0.25104108493793176
11/12/2022 (v6.4),Columbus Blue Jackets,MET,0.18087063429894412
11/12/2022 (v6.4),Dallas Stars,CEN,0.657450347700879
11/12/2022 (v6.4),Detroit Red Wings,ATL,0.5145519069314577
11/12/2022 (v6.4),Edmonton Oilers,PAC,0.657450347700879
11/12/2022 (v6.4),Florida Panthers,ATL,0.2895244400096385
11/12/2022 (v6.4),Los Angeles Kings,PAC,0.4182227251737762
11/12/2022 (v6.4),Minnesota Wild,CEN,0.7957540376165136
11/12/2022 (v6.4),Montréal Canadiens,ATL,0.42438959501397594
11/12/2022 (v6.4),Nashville Predators,CEN,0.6126238490886582
11/12/2022 (v6.4),New Jersey Devils,MET,0.769028180445991
11/12/2022 (v6.4),New York Islanders,MET,0.5659463276575853
11/12/2022 (v6.4),New York Rangers,MET,0.5314329567540792
11/12/2022 (v6.4),Ottawa Senators,ATL,0.48836438514645847
11/12/2022 (v6.4),Philadelphia Flyers,MET,0.09506142284819169
11/12/2022 (v6.4),Pittsburgh Penguins,MET,0.9539157892516996
11/12/2022 (v6.4),San Jose Sharks,PAC,0.2108724384162691
11/12/2022 (v6.4),Seattle Kraken,PAC,0.7065455561993698
11/12/2022 (v6.4),St. Louis Blues,CEN,0.09398474053817324
11/12/2022 (v6.4),Tampa Bay Lightning,ATL,0.8232832675273247
11/12/2022 (v6.4),Toronto Maple Leafs,ATL,0.9560043814803749
11/12/2022 (v6.4),Vancouver Canucks,PAC,0.5659463276575853
11/12/2022 (v6.4),Vegas Golden Knights,PAC,0.6299211177900679
11/12/2022 (v6.4),Washington Capitals,MET,0.73682809443655
11/12/2022 (v6.4),Winnipeg Jets,CEN,0.9343850637253441
