Rating Date,Team,Division,Average Ranking
29/12/2022 (v6.5),Arizona Coyotes,CEN,26.5
29/12/2022 (v6.5),Boston Bruins,ATL,3.5
29/12/2022 (v6.5),Buffalo Sabres,ATL,17.5
29/12/2022 (v6.5),Calgary Flames,CEN,11.916666666666666
29/12/2022 (v6.5),Carolina Hurricanes,MET,8.166666666666666
29/12/2022 (v6.5),Chicago Blackhawks,CEN,28.333333333333332
29/12/2022 (v6.5),Colorado Avalanche,CEN,12.916666666666666
29/12/2022 (v6.5),Columbus Blue Jackets,MET,28.0
29/12/2022 (v6.5),Dallas Stars,CEN,6.25
29/12/2022 (v6.5),Detroit Red Wings,ATL,20.25
29/12/2022 (v6.5),Edmonton Oilers,PAC,11.5
29/12/2022 (v6.5),Florida Panthers,ATL,16.416666666666668
29/12/2022 (v6.5),Los Angeles Kings,PAC,18.0
29/12/2022 (v6.5),Minnesota Wild,CEN,18.583333333333332
29/12/2022 (v6.5),Montréal Canadiens,ATL,25.0
29/12/2022 (v6.5),Nashville Predators,CEN,22.75
29/12/2022 (v6.5),New Jersey Devils,MET,7.583333333333333
29/12/2022 (v6.5),New York Islanders,MET,10.416666666666666
29/12/2022 (v6.5),New York Rangers,MET,11.0
29/12/2022 (v6.5),Ottawa Senators,ATL,20.416666666666668
29/12/2022 (v6.5),Philadelphia Flyers,MET,21.166666666666668
29/12/2022 (v6.5),Pittsburgh Penguins,MET,10.833333333333334
29/12/2022 (v6.5),San Jose Sharks,PAC,27.666666666666668
29/12/2022 (v6.5),Seattle Kraken,PAC,13.75
29/12/2022 (v6.5),St. Louis Blues,CEN,20.333333333333332
29/12/2022 (v6.5),Tampa Bay Lightning,ATL,9.666666666666666
29/12/2022 (v6.5),Toronto Maple Leafs,ATL,7.666666666666667
29/12/2022 (v6.5),Vancouver Canucks,PAC,24.166666666666668
29/12/2022 (v6.5),Vegas Golden Knights,PAC,10.25
29/12/2022 (v6.5),Washington Capitals,MET,14.916666666666666
29/12/2022 (v6.5),Winnipeg Jets,CEN,11.75
01/01/2023 (v6.5),Anaheim Ducks,PAC,30.923076923076923
01/01/2023 (v6.5),Arizona Coyotes,CEN,26.153846153846153
01/01/2023 (v6.5),Boston Bruins,ATL,3.3076923076923075
01/01/2023 (v6.5),Buffalo Sabres,ATL,17.384615384615383
01/01/2023 (v6.5),Calgary Flames,CEN,12.0
01/01/2023 (v6.5),Carolina Hurricanes,MET,7.769230769230769
01/01/2023 (v6.5),Chicago Blackhawks,CEN,28.53846153846154
01/01/2023 (v6.5),Colorado Avalanche,CEN,13.307692307692308
01/01/2023 (v6.5),Columbus Blue Jackets,MET,28.076923076923077
01/01/2023 (v6.5),Dallas Stars,CEN,6.076923076923077
01/01/2023 (v6.5),Detroit Red Wings,ATL,20.46153846153846
01/01/2023 (v6.5),Edmonton Oilers,PAC,11.538461538461538
01/01/2023 (v6.5),Florida Panthers,ATL,16.76923076923077
01/01/2023 (v6.5),Los Angeles Kings,PAC,18.076923076923077
01/01/2023 (v6.5),Minnesota Wild,CEN,18.307692307692307
01/01/2023 (v6.5),Montréal Canadiens,ATL,25.384615384615383
01/01/2023 (v6.5),Nashville Predators,CEN,23.076923076923077
01/01/2023 (v6.5),New Jersey Devils,MET,7.384615384615385
01/01/2023 (v6.5),New York Islanders,MET,10.23076923076923
01/01/2023 (v6.5),New York Rangers,MET,10.846153846153847
01/01/2023 (v6.5),Ottawa Senators,ATL,20.384615384615383
01/01/2023 (v6.5),Philadelphia Flyers,MET,21.384615384615383
01/01/2023 (v6.5),Pittsburgh Penguins,MET,10.846153846153847
01/01/2023 (v6.5),San Jose Sharks,PAC,27.692307692307693
01/01/2023 (v6.5),Seattle Kraken,PAC,13.76923076923077
01/01/2023 (v6.5),St. Louis Blues,CEN,20.692307692307693
01/01/2023 (v6.5),Tampa Bay Lightning,ATL,9.384615384615385
01/01/2023 (v6.5),Toronto Maple Leafs,ATL,7.230769230769231
01/01/2023 (v6.5),Vancouver Canucks,PAC,24.307692307692307
01/01/2023 (v6.5),Vegas Golden Knights,PAC,10.76923076923077
01/01/2023 (v6.5),Washington Capitals,MET,14.307692307692308
01/01/2023 (v6.5),Winnipeg Jets,CEN,11.615384615384615
15/01/2023 (v6.5),Anaheim Ducks,PAC,31.0
15/01/2023 (v6.5),Arizona Coyotes,CEN,26.285714285714285
15/01/2023 (v6.5),Boston Bruins,ATL,3.142857142857143
15/01/2023 (v6.5),Buffalo Sabres,ATL,17.428571428571427
15/01/2023 (v6.5),Calgary Flames,CEN,11.928571428571429
15/01/2023 (v6.5),Carolina Hurricanes,MET,7.642857142857143
15/01/2023 (v6.5),Chicago Blackhawks,CEN,28.714285714285715
