Rating Date,Team,Division,Defensive Rating
11/12/2022 (v6.4),Pittsburgh Penguins,MET,0.711352202651634
11/12/2022 (v6.4),San Jose Sharks,PAC,0.3720866731923898
11/12/2022 (v6.4),Seattle Kraken,PAC,0.601612219185609
11/12/2022 (v6.4),St. Louis Blues,CEN,0.33947506284860496
11/12/2022 (v6.4),Tampa Bay Lightning,ATL,0.7638929948532952
11/12/2022 (v6.4),Toronto Maple Leafs,ATL,0.566484578429663
11/12/2022 (v6.4),Vancouver Canucks,PAC,0.6995935320715294
11/12/2022 (v6.4),Vegas Golden Knights,PAC,0.5958813214997245
11/12/2022 (v6.4),Washington Capitals,MET,0.28627646395019146
11/12/2022 (v6.4),Winnipeg Jets,CEN,0.5797369280342155
18/12/2022 (v6.4),Anaheim Ducks,PAC,0.10709665275516606
18/12/2022 (v6.4),Arizona Coyotes,CEN,0.15149879752009301
18/12/2022 (v6.4),Boston Bruins,ATL,0.9382747960279738
18/12/2022 (v6.4),Buffalo Sabres,ATL,0.886826699155844
18/12/2022 (v6.4),Calgary Flames,CEN,0.46725668671528675
18/12/2022 (v6.4),Carolina Hurricanes,MET,0.4498754735759123
18/12/2022 (v6.4),Chicago Blackhawks,CEN,0.13423939698772036
18/12/2022 (v6.4),Colorado Avalanche,CEN,0.5866444278446099
18/12/2022 (v6.4),Columbus Blue Jackets,MET,0.15840393614974657
18/12/2022 (v6.4),Dallas Stars,CEN,0.7833645750727348
18/12/2022 (v6.4),Detroit Red Wings,ATL,0.2515499456067727
18/12/2022 (v6.4),Edmonton Oilers,PAC,0.8303417022835865
18/12/2022 (v6.4),Florida Panthers,ATL,0.6931400534700882
18/12/2022 (v6.4),Los Angeles Kings,PAC,0.6255489977904575
18/12/2022 (v6.4),Minnesota Wild,CEN,0.531997952302746
18/12/2022 (v6.4),Montréal Canadiens,ATL,0.13001911258406432
18/12/2022 (v6.4),Nashville Predators,CEN,0.10407790043212677
18/12/2022 (v6.4),New Jersey Devils,MET,0.7367566167706701
18/12/2022 (v6.4),New York Islanders,MET,0.5274918588112969
18/12/2022 (v6.4),New York Rangers,MET,0.592371224955933
18/12/2022 (v6.4),Ottawa Senators,ATL,0.7015544499445883
18/12/2022 (v6.4),Philadelphia Flyers,MET,0.09111283495316509
18/12/2022 (v6.4),Pittsburgh Penguins,MET,0.7494779822230144
18/12/2022 (v6.4),San Jose Sharks,PAC,0.36799386607781454
18/12/2022 (v6.4),Seattle Kraken,PAC,0.5620244227688276
18/12/2022 (v6.4),St. Louis Blues,CEN,0.31289102260637097
18/12/2022 (v6.4),Tampa Bay Lightning,ATL,0.7945172480183765
18/12/2022 (v6.4),Toronto Maple Leafs,ATL,0.5719762868095668
18/12/2022 (v6.4),Vancouver Canucks,PAC,0.6194056834237135
18/12/2022 (v6.4),Vegas Golden Knights,PAC,0.6837950278914642
18/12/2022 (v6.4),Washington Capitals,MET,0.4261938795924337
18/12/2022 (v6.4),Winnipeg Jets,CEN,0.6134758820572042
22/01/2023 (v6.5),Anaheim Ducks,PAC,0.07623718019145857
22/01/2023 (v6.5),Arizona Coyotes,CEN,0.06852467476115723
22/01/2023 (v6.5),Boston Bruins,ATL,0.9224029441729826
22/01/2023 (v6.5),Buffalo Sabres,ATL,0.8787338125167131
22/01/2023 (v6.5),Calgary Flames,CEN,0.5794179719873671
22/01/2023 (v6.5),Carolina Hurricanes,MET,0.6207787980445744
22/01/2023 (v6.5),Chicago Blackhawks,CEN,0.08782765924455363
22/01/2023 (v6.5),Colorado Avalanche,CEN,0.5800331018306779
22/01/2023 (v6.5),Columbus Blue Jackets,MET,0.08624875690001174
22/01/2023 (v6.5),Dallas Stars,CEN,0.7760162027978771
22/01/2023 (v6.5),Detroit Red Wings,ATL,0.3276497122751283
22/01/2023 (v6.5),Edmonton Oilers,PAC,0.8917668812239572
22/01/2023 (v6.5),Florida Panthers,ATL,0.8068215762532785
22/01/2023 (v6.5),Los Angeles Kings,PAC,0.6527125215731698
22/01/2023 (v6.5),Minnesota Wild,CEN,0.5258897019879368
22/01/2023 (v6.5),Montréal Canadiens,ATL,0.0661221091274785
22/01/2023 (v6.5),Nashville Predators,CEN,0.2212352883973633
22/01/2023 (v6.5),New Jersey Devils,MET,0.7729175364912843
22/01/2023 (v6.5),New York Islanders,MET,0.26376488376142443
22/01/2023 (v6.5),New York Rangers,MET,0.5615753908430619
22/01/2023 (v6.5),Ottawa Senators,ATL,0.5433175615694958
22/01/2023 (v6.5),Philadelphia Flyers,MET,0.16921557156774983
22/01/2023 (v6.5),Pittsburgh Penguins,MET,0.6077886843995693
22/01/2023 (v6.5),San Jose Sharks,PAC,0.34895290773911386
22/01/2023 (v6.5),Seattle Kraken,PAC,0.5952396573855101
22/01/2023 (v6.5),St. Louis Blues,CEN,0.40063970316595954
22/01/2023 (v6.5),Tampa Bay Lightning,ATL,0.8116635994378978
22/01/2023 (v6.5),Toronto Maple Leafs,ATL,0.6951450460761246
22/01/2023 (v6.5),Vancouver Canucks,PAC,0.5822144346593832
22/01/2023 (v6.5),Vegas Golden Knights,PAC,0.6655436550761804
22/01/2023 (v6.5),Washington Capitals,MET,0.5156396278469432
22/01/2023 (v6.5),Winnipeg Jets,CEN,0.5689903393494286
