Defensemen	Even Strength Utilization Base	Team
171 Charlie McAvoy	0.17432291666666666	Boston Bruins
172 Jordan Oesterle	0.17292534722222222	Detroit Red Wings
173 Dylan Samberg	0.1720117845117845	Winnipeg Jets
174 Dmitry Orlov	0.16964285714285715	Washington Capitals
175 Josh Manson	0.16833333333333333	Colorado Avalanche
176 Marcus Bjork	0.1651215277777778	Columbus Blue Jackets
177 Calvin de Haan	0.1621885521885522	Carolina Hurricanes
178 Derek Forbort	0.16092881944444445	Boston Bruins
179 Jakob Chychrun	0.15267921146953406	Arizona Coyotes
180 Matt Irwin	0.14498412698412697	Washington Capitals
181 Henri Jokiharju	0.144140625	Buffalo Sabres
182 Michael Stone	0.14187908496732027	Calgary Flames
183 Artem Zub	0.13984006734006735	Ottawa Senators
184 Kyle Burroughs	0.1390017361111111	Vancouver Canucks
185 Casey Fitzgerald	0.13473958333333333	Buffalo Sabres
186 Jake Walman	0.13245659722222222	Detroit Red Wings
187 Zach Werenski	0.13238715277777777	Columbus Blue Jackets
188 Riley Stillman	0.131875	Vancouver Canucks
189 Nikita Zaitsev	0.13065656565656564	Ottawa Senators
190 Chris Wideman	0.12834175084175084	Montréal Canadiens
191 Gustav Lindstrom	0.12383680555555557	Detroit Red Wings
192 Robert Bortuzzo	0.12129629629629629	St. Louis Blues
193 Ilya Lyubushkin	0.12066840277777778	Buffalo Sabres
194 Cal Foote	0.12048611111111111	Tampa Bay Lightning
195 Calle Rosen	0.115496632996633	St. Louis Blues
196 Alex Goligoski	0.1154040404040404	Minnesota Wild
197 Nathan Beaulieu	0.11061274509803921	Anaheim Ducks
198 Jacob MacDonald	0.10905913978494623	Colorado Avalanche
199 Lawrence Pilut	0.1045486111111111	Buffalo Sabres
200 Jake Bean	0.10412326388888889	Columbus Blue Jackets
201 Kale Clague	0.1017013888888889	Buffalo Sabres
202 Chad Ruhwedel	0.10101851851851852	Pittsburgh Penguins
203 Libor Hajek	0.10024603174603175	New York Rangers
204 Robert Hagg	0.09953993055555556	Detroit Red Wings
205 Bowen Byram	0.09916666666666667	Colorado Avalanche
206 Haydn Fleury	0.09480034722222223	Tampa Bay Lightning
207 Mike Matheson	0.09427609427609428	Montréal Canadiens
208 Colton White	0.09383169934640523	Anaheim Ducks
209 Gavin Bayreuther	0.0880295138888889	Columbus Blue Jackets
210 Andreas Englund	0.08757168458781361	Colorado Avalanche
211 Matt Kiersted	0.08730392156862744	Florida Panthers
212 Markus Niemelainen	0.08388888888888889	Edmonton Oilers
213 Tim Berni	0.08294270833333334	Columbus Blue Jackets
214 Jakub Zboril	0.079765625	Boston Bruins
215 Ryan Murray	0.0788970588235294	Edmonton Oilers
216 Daniil Miromanov	0.07784920634920635	Vegas Golden Knights
217 Urho Vaakanainen	0.07265522875816993	Anaheim Ducks
218 Zach Bogosian	0.06998263888888889	Tampa Bay Lightning
219 Conor Timmins	0.06798202614379086	Toronto Maple Leafs
220 Victor Mete	0.06518790849673202	Toronto Maple Leafs
221 Jamie Drysdale	0.06345588235294117	Anaheim Ducks
222 Philip Broberg	0.06215686274509804	Edmonton Oilers
223 Scott Harrington	0.06188888888888889	San Jose Sharks
224 Nick Blankenburg	0.06121527777777778	Columbus Blue Jackets
