Defensemen	Penalty Kill Utilization Corrected	Team
203 Mark Borowiecki	0.12065778836119115	Nashville Predators
204 Juuso Valimaki	0.11901275420830006	Arizona Coyotes
205 Tobias Bjornfot	0.11714614938492764	Los Angeles Kings
206 Jake Bean	0.11702673632547166	Columbus Blue Jackets
207 Zach Bogosian	0.11661663625018213	Tampa Bay Lightning
208 Marcus Bjork	0.1165097065978388	Columbus Blue Jackets
209 Tucker Poolman	0.11641092179317729	Vancouver Canucks
210 Thomas Chabot	0.11535379755416716	Ottawa Senators
211 Matt Kiersted	0.1145833899564723	Florida Panthers
212 Tim Berni	0.11264476565453548	Columbus Blue Jackets
213 Jordan Gross	0.11090231987040491	Nashville Predators
214 Roland McKeown	0.10993684921003162	Nashville Predators
215 Torey Krug	0.1090807244137484	St. Louis Blues
216 Justin Schultz	0.10899949828126361	Seattle Kraken
217 Kevin Gravel	0.10869275690107927	Nashville Predators
218 Connor Mackey	0.1062483478538991	Calgary Flames
219 Ian Mitchell	0.10475400643656527	Chicago Blackhawks
220 Alexander Alexeyev	0.1042740048891634	Washington Capitals
221 Nils Lundkvist	0.1042039611176955	Dallas Stars
222 Libor Hajek	0.1037820992396703	New York Rangers
223 Mac Hollowell	0.10365148558813365	Toronto Maple Leafs
224 Jakob Chychrun	0.10310124639484017	Arizona Coyotes
225 Calen Addison	0.10246258602864605	Minnesota Wild
226 Jacob MacDonald	0.10220444728806995	Colorado Avalanche
227 Daniil Miromanov	0.1013083635821637	Vegas Golden Knights
228 Sebastian Aho	0.10076920204965471	New York Islanders
229 Urho Vaakanainen	0.1006253224474909	Anaheim Ducks
230 Kevin Bahl	0.10061218126498371	New Jersey Devils
231 Ben Hutton	0.10056480602190274	Vegas Golden Knights
232 Conor Timmins	0.10053079021108881	Toronto Maple Leafs
233 John Klingberg	0.10038901426364805	Anaheim Ducks
234 Cale Fleury	0.1002627085619874	Seattle Kraken
235 Jacob Bernard-Docker	0.09976094469675284	Ottawa Senators
236 Joel Hanley	0.09909416277509846	Dallas Stars
