Defensemen	Even Strength Utilization Corrected	Team
228 Robin Salo	0.05652813282326172	New York Islanders
229 Cam York	0.054858527294410216	Philadelphia Flyers
230 Ben Hutton	0.054560564548066896	Vegas Golden Knights
231 Jordie Benn	0.048509449533355016	Toronto Maple Leafs
232 Jack Rathbone	0.04827034515795764	Vancouver Canucks
233 Connor Mackey	0.04702216840305229	Calgary Flames
234 Joel Hanley	0.04691558080417795	Dallas Stars
235 Logan Stanley	0.046915137170109006	Winnipeg Jets
236 Dennis Gilbert	0.044716071847198634	Calgary Flames
237 Cale Fleury	0.0445119930486387	Seattle Kraken
238 Ian Mitchell	0.04385875043625204	Chicago Blackhawks
239 Kurtis MacDermid	0.041310722021166785	Colorado Avalanche
240 Dylan Coghlan	0.04098090291363545	Carolina Hurricanes
241 Kevin Bahl	0.04029165838486841	New Jersey Devils
242 Brad Hunt	0.03990937535098565	Colorado Avalanche
243 Kyle Capobianco	0.039124430428585176	Winnipeg Jets
244 Adam Boqvist	0.036166450875594905	Columbus Blue Jackets
245 Alexander Alexeyev	0.03583892370892336	Washington Capitals
246 Kevin Gravel	0.03539683945076267	Nashville Predators
247 Jake Muzzin	0.03529616279206531	Toronto Maple Leafs
248 Ben Harpur	0.03440839228291468	New York Rangers
249 Nick DeSimone	0.03107436296390877	Calgary Flames
250 Ville Heinola	0.03080026523314457	Winnipeg Jets
251 Tucker Poolman	0.030711637215345835	Vancouver Canucks
252 Roland McKeown	0.030601828652501897	Nashville Predators
253 Mark Borowiecki	0.03015435692028969	Nashville Predators
254 Jordan Spence	0.02663187803014612	Los Angeles Kings
255 Lucas Johansen	0.026475871993752294	Washington Capitals
