Defensemen	Plus_Minus Corrected	Team
144 Nikita Zaitsev	0.3332260771825359	Ottawa Senators
145 Justin Braun	0.3324350332896595	Philadelphia Flyers
146 Ryan Suter	0.33006757785947977	Dallas Stars
147 Justin Faulk	0.31681665116178925	St. Louis Blues
148 Noah Dobson	0.31604609748826823	New York Islanders
149 Travis Hamonic	0.31604609748826823	Ottawa Senators
150 Ilya Lyubushkin	0.31527655306374924	Buffalo Sabres
151 Jarred Tinordi	0.3114440701759014	Chicago Blackhawks
152 Matt Benning	0.3114440701759014	San Jose Sharks
153 Libor Hajek	0.30915687336108283	New York Rangers
154 Colton Parayko	0.30687898727578616	St. Louis Blues
155 Dylan Samberg	0.30461048446951583	Winnipeg Jets
156 Kale Clague	0.3038564143403577	Buffalo Sabres
157 Jacob Trouba	0.30235143582805607	New York Rangers
158 Joel Hanley	0.2978619762577546	Dallas Stars
159 Troy Stecher	0.29563169877426765	Arizona Coyotes
160 Tucker Poolman	0.29563169877426765	Vancouver Canucks
161 Adam Boqvist	0.29489043005744126	Columbus Blue Jackets
162 Brendan Smith	0.2926731279664052	New Jersey Devils
163 Alexandre Carrier	0.29120036953590334	Nashville Predators
164 Joel Edmundson	0.28899944124010774	Montréal Canadiens
165 Nicolas Hague	0.28899944124010774	Vegas Golden Knights
166 Jamie Drysdale	0.2810145355784321	Anaheim Ducks
167 Ethan Bear	0.2802953331127068	Vancouver Canucks
168 Jordan Gross	0.2788603048495283	Nashville Predators
169 Josh Brown	0.2592502920640248	Arizona Coyotes
170 Arber Xhekaj	0.25925029206402467	Montréal Canadiens
171 Matt Irwin	0.249788188173447	Washington Capitals
172 Juuso Valimaki	0.24845542855380431	Arizona Coyotes
173 Jake Bean	0.2431721541191619	Columbus Blue Jackets
174 Kaiden Guhle	0.23926005726379798	Montréal Canadiens
175 Logan Stanley	0.23796565300007905	Winnipeg Jets
176 Robin Salo	0.2328363319639748	New York Islanders
177 Conor Timmins	0.22404669585158088	Toronto Maple Leafs
178 Dylan Coghlan	0.22157915807532663	Carolina Hurricanes
179 Sean Durzi	0.22157915807532663	Los Angeles Kings
180 Erik Gustafsson	0.22157915807532663	Washington Capitals
181 Gavin Bayreuther	0.21913112188891126	Columbus Blue Jackets
182 Nick Blankenburg	0.21791442183999354	Columbus Blue Jackets
183 Erik Brannstrom	0.213694415705748	Ottawa Senators
184 Samuel Girard	0.21071675379595356	Colorado Avalanche
185 Kevin Gravel	0.2101248848377264	Nashville Predators
186 Shayne Gostisbehere	0.20953423700187662	Arizona Coyotes
187 Kyle Capobianco	0.20894481024948086	Winnipeg Jets
188 Lucas Johansen	0.20427334554356708	Washington Capitals
189 Urho Vaakanainen	0.20369490428697803	Anaheim Ducks
190 Kevin Bahl	0.20369490428697803	New Jersey Devils
191 Jakub Zboril	0.2013933357830348	Boston Bruins
192 Jeremy Lauzon	0.20082099166010844	Nashville Predators
193 Marc-Edouard Vlasic	0.19741250945772731	San Jose Sharks
194 Jack Rathbone	0.19628608689367508	Vancouver Canucks
195 Anton Stralman	0.1946055727673956	Boston Bruins
196 Ben Hutton	0.19017762363821838	Vegas Golden Knights
197 Roland McKeown	0.18853713927871965	Nashville Predators
198 Matt Kiersted	0.1874495311515189	Florida Panthers
199 Daniil Miromanov	0.18690753979994038	Vegas Golden Knights
200 Jon Merrill	0.18314738022369859	Minnesota Wild
201 Nick Cicek	0.18208388716300547	San Jose Sharks
202 Cale Fleury	0.18102520099200275	Seattle Kraken
203 Zach Bogosian	0.17735756780293344	Tampa Bay Lightning
204 Oliver Ekman-Larsson	0.17580366290852567	Vancouver Canucks
205 Ivan Provorov	0.1727280209941098	Philadelphia Flyers
206 Cam Fowler	0.16720017290717817	Anaheim Ducks
207 J.J. Moser	0.16571733400026473	Arizona Coyotes
208 Rasmus Ristolainen	0.16571733400026473	Philadelphia Flyers
209 Tony DeAngelo	0.16181463019814415	Philadelphia Flyers
210 Nick Holden	0.1575131158654219	Ottawa Senators
211 Alexander Edler	0.15751311586542188	Los Angeles Kings
212 Alexander Alexeyev	0.15751311586542188	Washington Capitals
213 Kyle Burroughs	0.1556313758479879	Vancouver Canucks
214 Brad Hunt	0.15376801311567312	Colorado Avalanche
215 Haydn Fleury	0.15330503438006918	Tampa Bay Lightning
216 Jalen Chatfield	0.1528431978479072	Carolina Hurricanes
217 Radim Simek	0.1528431978479072	San Jose Sharks
218 Philip Broberg	0.14783800340298217	Edmonton Oilers
219 Robert Bortuzzo	0.14472393494234947	St. Louis Blues
