Defensemen	Total Rating	Team
130 Nate Schmidt	0.5232791315193279	Winnipeg Jets
131 Adam Pelech	0.5221479880512856	New York Islanders
132 Jordan Harris	0.5151047200276531	Montréal Canadiens
133 Braden Schneider	0.5044139902061786	New York Rangers
134 Simon Benoit	0.5019492296486082	Anaheim Ducks
135 Will Borgen	0.5013282123141184	Seattle Kraken
136 Colin Miller	0.5012563785939211	Dallas Stars
137 Joel Edmundson	0.5002243449260915	Montréal Canadiens
138 Zach Werenski	0.4968486606359545	Columbus Blue Jackets
139 Derek Forbort	0.49501882776425793	Boston Bruins
140 TJ Brodie	0.49074837728008525	Toronto Maple Leafs
141 Radko Gudas	0.48627311840023163	Florida Panthers
142 Kevin Shattenkirk	0.47467961984523555	Anaheim Ducks
143 Nils Lundkvist	0.465458294433079	Dallas Stars
144 Cam York	0.4615348098565619	Philadelphia Flyers
145 Calen Addison	0.4601656427914406	Minnesota Wild
146 Carson Soucy	0.45799534350169546	Seattle Kraken
147 Jan Rutta	0.45595097352877023	Pittsburgh Penguins
148 Ethan Bear	0.4534920292889868	Vancouver Canucks
149 Jake Walman	0.45325920900597244	Detroit Red Wings
150 Alexandre Carrier	0.45323670251446346	Nashville Predators
151 Mike Matheson	0.4503949057012397	Montréal Canadiens
152 Caleb Jones	0.4465017482562238	Chicago Blackhawks
153 Niko Mikkola	0.4462105693072338	St. Louis Blues
154 Sebastian Aho	0.4435982709633698	New York Islanders
155 Bowen Byram	0.43189780977483505	Colorado Avalanche
156 Nick Perbix	0.4270807409978535	Tampa Bay Lightning
157 Henri Jokiharju	0.42133513662070776	Buffalo Sabres
158 Dante Fabbro	0.4181902798344425	Nashville Predators
159 Artem Zub	0.4132310586041937	Ottawa Senators
160 Arber Xhekaj	0.4116271213361072	Montréal Canadiens
161 Nick Seeler	0.4078744485227792	Philadelphia Flyers
162 Josh Mahura	0.40045015825916264	Florida Panthers
163 Nick Holden	0.3979355982204974	Ottawa Senators
164 Troy Stecher	0.39436645680891225	Arizona Coyotes
165 Johnathan Kovacevic	0.38789964154114576	Montréal Canadiens
166 Jon Merrill	0.38662715638574946	Minnesota Wild
167 Pierre-Olivier Joseph	0.3841851538316841	Pittsburgh Penguins
168 Dylan Samberg	0.3816538863352115	Winnipeg Jets
169 Brendan Smith	0.37903239849943926	New Jersey Devils
170 Calle Rosen	0.37876724449826216	St. Louis Blues
171 Adam Boqvist	0.37086715019518407	Columbus Blue Jackets
172 Nick Blankenburg	0.3708085296961148	Columbus Blue Jackets
173 Josh Brown	0.36120185641297475	Arizona Coyotes
174 Jalen Chatfield	0.35791932810716687	Carolina Hurricanes
175 Sean Walker	0.35639161767655675	Los Angeles Kings
176 Alexander Edler	0.3560561051175958	Los Angeles Kings
177 Juuso Valimaki	0.35483344443525483	Arizona Coyotes
178 Jeremy Lauzon	0.34852424028890083	Nashville Predators
179 Patrik Nemeth	0.34030316242762526	Arizona Coyotes
180 Conor Timmins	0.33637036806859866	Toronto Maple Leafs
181 Daniil Miromanov	0.32503941142897436	Vegas Golden Knights
182 Zach Whitecloud	0.32462767701892364	Vegas Golden Knights
183 Jacob Bryson	0.3236418373695344	Buffalo Sabres
184 Erik Brannstrom	0.31504367314847387	Ottawa Senators
185 Calvin de Haan	0.31099578672999795	Carolina Hurricanes
186 Ilya Lyubushkin	0.3061372173397441	Buffalo Sabres
187 Jake Bean	0.30309612130132246	Columbus Blue Jackets
188 Michael Stone	0.2980551367026255	Calgary Flames
189 Jarred Tinordi	0.2961807188771153	Chicago Blackhawks
190 Josh Manson	0.27519130628369304	Colorado Avalanche
191 Ian Mitchell	0.2730239920032919	Chicago Blackhawks
192 Scott Harrington	0.26562450536502624	San Jose Sharks
193 Vincent Desharnais	0.25848849528981355	Edmonton Oilers
194 Jordan Oesterle	0.25663398375269464	Detroit Red Wings
195 Tim Berni	0.2562065232679756	Columbus Blue Jackets
196 Justin Barron	0.25468108400791745	Montréal Canadiens
197 Tucker Poolman	0.241452827456453	Vancouver Canucks
198 Justin Braun	0.2350061504661575	Philadelphia Flyers
199 Alex Goligoski	0.23421220060285386	Minnesota Wild
200 Nikita Zaitsev	0.2338420441040734	Ottawa Senators
201 Gavin Bayreuther	0.22874414291580603	Columbus Blue Jackets
202 Connor Mackey	0.22642377431717542	Calgary Flames
203 Brad Hunt	0.2251856012662507	Colorado Avalanche
204 Jake Muzzin	0.2183409372044674	Toronto Maple Leafs
205 Kyle Burroughs	0.21149570902478798	Vancouver Canucks
206 Radim Simek	0.2108454276100456	San Jose Sharks
207 Kurtis MacDermid	0.2077640871665255	Colorado Avalanche
208 Matt Irwin	0.1996831142157685	Washington Capitals
209 Filip Roos	0.19868699548414176	Chicago Blackhawks
210 Ben Harpur	0.19436121946852186	New York Rangers
211 Dylan Coghlan	0.18857219988434037	Carolina Hurricanes
212 Philip Broberg	0.18720355047340873	Edmonton Oilers
213 Urho Vaakanainen	0.18680659527421128	Anaheim Ducks
214 Ryan Murray	0.1830291735816249	Edmonton Oilers
215 Chris Wideman	0.17765198950234862	Montréal Canadiens
216 Nathan Beaulieu	0.17586833701660287	Anaheim Ducks
217 Chad Ruhwedel	0.17500892558742875	Pittsburgh Penguins
218 Jordie Benn	0.17464491984728703	Toronto Maple Leafs
219 Riley Stillman	0.17292879113928017	Vancouver Canucks
220 Zach Bogosian	0.1728789985910614	Tampa Bay Lightning
221 Ben Hutton	0.17049941494238552	Vegas Golden Knights
222 Jamie Drysdale	0.1684936380522584	Anaheim Ducks
223 Kale Clague	0.16793312146189046	Buffalo Sabres
224 Cal Foote	0.16158023612267197	Tampa Bay Lightning
225 Andreas Englund	0.1583611333213589	Colorado Avalanche
226 Robert Hagg	0.15793053697923812	Detroit Red Wings
227 Jack Rathbone	0.15431085536918332	Vancouver Canucks
228 Victor Mete	0.15232484311242944	Toronto Maple Leafs
229 Robert Bortuzzo	0.14972247149486073	St. Louis Blues
230 Alexander Alexeyev	0.14413849707338766	Washington Capitals
231 Casey Fitzgerald	0.14174965641108692	Florida Panthers
232 Tobias Bjornfot	0.14026909794380765	Los Angeles Kings
233 Mark Friedman	0.13333651293142326	Pittsburgh Penguins
234 Gustav Lindstrom	0.12109392554924843	Detroit Red Wings
235 Kevin Bahl	0.1168019731135489	New Jersey Devils
236 Anton Stralman	0.11065150844443843	Boston Bruins
237 Colton White	0.10976571512489265	Anaheim Ducks
238 Samuel Bolduc	0.1097464815612903	New York Islanders
239 Libor Hajek	0.10906434714122953	New York Rangers
240 Cale Fleury	0.10800257335638652	Seattle Kraken
241 Logan Stanley	0.10756965708639774	Winnipeg Jets
242 Parker Wotherspoon	0.10715315287135445	New York Islanders
243 Kyle Capobianco	0.10632697160454789	Winnipeg Jets
244 Travis Dermott	0.10394548652433976	Vancouver Canucks
245 Jacob MacDonald	0.10303799334983248	San Jose Sharks
246 Jakub Zboril	0.10041908066501026	Boston Bruins
247 Haydn Fleury	0.09666175074743433	Tampa Bay Lightning
248 Dennis Gilbert	0.09524595302823266	Calgary Flames
249 Joel Hanley	0.07717317287498858	Dallas Stars
250 Mark Borowiecki	0.04631371790465985	Nashville Predators
