Defensemen	Discipline Corrected	Team
157 Nicolas Hague	0.36316631395726384	Vegas Golden Knights
158 Jacob Bernard-Docker	0.3596804320205113	Ottawa Senators
159 Jacob Bryson	0.35514258856256214	Buffalo Sabres
160 Jake Walman	0.3378176829882316	Detroit Red Wings
161 Nikita Zaitsev	0.3360701427306068	Ottawa Senators
162 Jan Rutta	0.3356067135789539	Pittsburgh Penguins
163 Calen Addison	0.32431604820928855	Minnesota Wild
164 Jake Muzzin	0.32219811323790426	Toronto Maple Leafs
165 Troy Stecher	0.31940961011520663	Arizona Coyotes
166 Justin Braun	0.3169379742635503	Philadelphia Flyers
167 Nick Holden	0.31067259337934827	Ottawa Senators
168 Jordie Benn	0.30744049047074495	Toronto Maple Leafs
169 Patrik Nemeth	0.3054135798745738	Arizona Coyotes
170 Ian Mitchell	0.30259672657358977	Chicago Blackhawks
171 Luke Schenn	0.3022393868531942	Vancouver Canucks
172 Adam Boqvist	0.2962267795855121	Columbus Blue Jackets
173 Zach Whitecloud	0.2915150919539844	Vegas Golden Knights
174 Dante Fabbro	0.283862050729252	Nashville Predators
175 Carson Soucy	0.27896044767904266	Seattle Kraken
176 Colin Miller	0.2700751388382107	Dallas Stars
177 Jon Merrill	0.259996990586696	Minnesota Wild
178 Erik Brannstrom	0.2511261663276477	Ottawa Senators
179 Jordan Oesterle	0.25111481289202864	Detroit Red Wings
180 Niko Mikkola	0.25005913812153097	St. Louis Blues
181 Jack Rathbone	0.2496119364399375	Vancouver Canucks
182 Juuso Valimaki	0.24075482153839883	Arizona Coyotes
183 Jake Bean	0.2374343320279089	Columbus Blue Jackets
184 Will Borgen	0.22736678585661468	Seattle Kraken
185 Anton Stralman	0.22490486953187616	Boston Bruins
186 Nick Perbix	0.2211245751988182	Tampa Bay Lightning
187 Tobias Bjornfot	0.22095407103628922	Los Angeles Kings
188 Josh Manson	0.219292337981966	Colorado Avalanche
189 Braden Schneider	0.21363310800169708	New York Rangers
190 Robert Hagg	0.21052056642795205	Detroit Red Wings
191 Kale Clague	0.20901468923564978	Buffalo Sabres
192 Sebastian Aho	0.19400336304210186	New York Islanders
193 Dylan Samberg	0.19001460464536768	Winnipeg Jets
194 Gavin Bayreuther	0.18424715623741236	Columbus Blue Jackets
195 Alexander Edler	0.17972580936124133	Los Angeles Kings
196 Pierre-Olivier Joseph	0.17895739506187278	Pittsburgh Penguins
197 Conor Timmins	0.17749277825227022	Toronto Maple Leafs
198 Ilya Lyubushkin	0.16829164152431159	Buffalo Sabres
199 Sean Walker	0.16659758528507723	Los Angeles Kings
200 Radim Simek	0.1599933323754228	San Jose Sharks
201 Scott Harrington	0.15049325591002577	San Jose Sharks
202 Tucker Poolman	0.14569417471416363	Vancouver Canucks
203 Nick Cicek	0.1419684426388856	San Jose Sharks
204 Riley Stillman	0.14177384991871214	Vancouver Canucks
205 Kevin Gravel	0.13829599494225267	Nashville Predators
206 Dylan Coghlan	0.13740080714506336	Carolina Hurricanes
207 Jeremy Lauzon	0.13680547087438427	Nashville Predators
208 Josh Mahura	0.1356638670496052	Florida Panthers
209 Calle Rosen	0.13461604177214737	St. Louis Blues
210 Cal Foote	0.13296907641925126	Tampa Bay Lightning
211 Gustav Lindstrom	0.12510585946894584	Detroit Red Wings
212 Zach Bogosian	0.12309091991609249	Tampa Bay Lightning
213 Jakub Zboril	0.11779668253647889	Boston Bruins
214 Nick Seeler	0.11383998202249385	Philadelphia Flyers
215 Chad Ruhwedel	0.10542837793267376	Pittsburgh Penguins
216 Chris Wideman	0.10475432620185604	Montréal Canadiens
217 Cale Fleury	0.10307052358708693	Seattle Kraken
218 Arber Xhekaj	0.10154162780589061	Montréal Canadiens
219 Libor Hajek	0.0996209554420725	New York Rangers
220 Ryan Murray	0.0920834090241313	Edmonton Oilers
221 Michael Stone	0.09110897868667585	Calgary Flames
222 Kyle Capobianco	0.09110475182991194	Winnipeg Jets
223 Brendan Smith	0.09100744261332558	New Jersey Devils
224 Logan Stanley	0.08838079072954502	Winnipeg Jets
225 Victor Mete	0.08812692090940787	Toronto Maple Leafs
226 Lucas Johansen	0.08619886752105833	Washington Capitals
227 Philip Broberg	0.08501677939693877	Edmonton Oilers
228 Lawrence Pilut	0.08501033448253179	Buffalo Sabres
229 Casey Fitzgerald	0.08325722656067766	Buffalo Sabres
230 Jalen Chatfield	0.07984623161395395	Carolina Hurricanes
231 Ben Hutton	0.07876218663989354	Vegas Golden Knights
232 Ben Harpur	0.07873557618541582	New York Rangers
233 Colton White	0.07711276914978181	Anaheim Ducks
234 Calvin de Haan	0.0753017035404968	Carolina Hurricanes
235 Matt Irwin	0.07127712743899366	Washington Capitals
236 Roland McKeown	0.07086139895646218	Nashville Predators
237 Haydn Fleury	0.06417869696603455	Tampa Bay Lightning
238 Robin Salo	0.061815071370625536	New York Islanders
239 Alexander Alexeyev	0.05934088381137399	Washington Capitals
240 Andreas Englund	0.05644861099628374	Colorado Avalanche
241 Dysin Mayo	0.0526594720498731	Arizona Coyotes
242 Kevin Bahl	0.047143131034836236	New Jersey Devils
243 Brad Hunt	0.04321543814812219	Colorado Avalanche
244 Nathan Beaulieu	0.04170171456209119	Anaheim Ducks
245 Robert Bortuzzo	0.039136278130697276	St. Louis Blues
246 Jacob MacDonald	0.02932059309844806	Colorado Avalanche
247 Matt Kiersted	0.025483778347260247	Florida Panthers
248 Joel Hanley	0.020791005335372616	Dallas Stars
249 Connor Mackey	0.015132086347157693	Calgary Flames
250 Mark Borowiecki	0.006885293734450093	Nashville Predators
251 Kurtis MacDermid	0.004681830165625388	Colorado Avalanche
