Defensemen	Blocks Base	Team
199 Nick Blankenburg	13	Columbus Blue Jackets
200 Philip Broberg	13	Edmonton Oilers
201 Haydn Fleury	13	Tampa Bay Lightning
202 Riley Stillman	13	Vancouver Canucks
203 Gustav Lindstrom	12	Detroit Red Wings
204 Ryan Murray	12	Edmonton Oilers
205 Cal Foote	12	Tampa Bay Lightning
206 Urho Vaakanainen	11	Anaheim Ducks
207 Jakub Zboril	11	Boston Bruins
208 Bowen Byram	11	Colorado Avalanche
209 Jacob MacDonald	11	Colorado Avalanche
210 Jordan Gross	11	Nashville Predators
211 Nick Cicek	11	San Jose Sharks
212 Anton Stralman	10	Boston Bruins
213 Robin Salo	10	New York Islanders
214 Jake Muzzin	10	Toronto Maple Leafs
215 Joel Hanley	9	Dallas Stars
216 Mike Matheson	9	Montréal Canadiens
217 Kevin Bahl	9	New Jersey Devils
218 Chad Ruhwedel	9	Pittsburgh Penguins
219 Victor Mete	9	Toronto Maple Leafs
220 Pierre-Olivier Joseph	8	Pittsburgh Penguins
221 Alexander Alexeyev	8	Washington Capitals
222 Logan Stanley	8	Winnipeg Jets
223 Kale Clague	7	Buffalo Sabres
224 Casey Fitzgerald	7	Buffalo Sabres
225 Andreas Englund	7	Colorado Avalanche
226 Daniil Miromanov	7	Vegas Golden Knights
227 Jamie Drysdale	6	Anaheim Ducks
228 Tim Berni	6	Columbus Blue Jackets
229 Jacob Bernard-Docker	6	Ottawa Senators
230 Scott Harrington	6	San Jose Sharks
231 Cale Fleury	6	Seattle Kraken
232 Ben Hutton	6	Vegas Golden Knights
233 Connor Mackey	5	Calgary Flames
234 Cam York	5	Philadelphia Flyers
235 Adam Boqvist	4	Columbus Blue Jackets
236 Matt Kiersted	4	Florida Panthers
237 Kevin Gravel	4	Nashville Predators
238 Roland McKeown	4	Nashville Predators
239 Zach Bogosian	4	Tampa Bay Lightning
240 Conor Timmins	4	Toronto Maple Leafs
241 Dylan Coghlan	3	Carolina Hurricanes
242 Ian Mitchell	3	Chicago Blackhawks
243 Tobias Bjornfot	3	Los Angeles Kings
244 Jack Rathbone	3	Vancouver Canucks
245 Lucas Johansen	3	Washington Capitals
246 Ben Harpur	2	New York Rangers
247 Tucker Poolman	2	Vancouver Canucks
248 Kurtis MacDermid	1	Colorado Avalanche
249 Mark Borowiecki	1	Nashville Predators
250 Kyle Capobianco	1	Winnipeg Jets
251 Brad Hunt	0	Colorado Avalanche
