Rating Date,Team,Division,Scoring Rating
29/1/2021 (v5.0),Anaheim Ducks,PAC,0.4780917300367245
29/1/2021 (v5.0),Arizona Coyotes,CEN,0.02836650857982948
29/1/2021 (v5.0),Boston Bruins,ATL,0.7615747899626937
29/1/2021 (v5.0),Buffalo Sabres,ATL,0.11551286728182175
29/1/2021 (v5.0),Calgary Flames,CEN,0.8574994480896818
29/1/2021 (v5.0),Carolina Hurricanes,MET,0.9251259222288002
29/1/2021 (v5.0),Chicago Blackhawks,CEN,0.13852886633451636
29/1/2021 (v5.0),Colorado Avalanche,CEN,0.9163812390635205
29/1/2021 (v5.0),Columbus Blue Jackets,MET,0.16849636273881669
29/1/2021 (v5.0),Dallas Stars,CEN,0.43877137004172784
29/1/2021 (v5.0),Detroit Red Wings,ATL,0.15937795337253502
29/1/2021 (v5.0),Edmonton Oilers,PAC,0.5227439049170934
29/1/2021 (v5.0),Florida Panthers,ATL,0.9294432173717155
29/1/2021 (v5.0),Los Angeles Kings,PAC,0.6417238809545301
29/1/2021 (v5.0),Minnesota Wild,CEN,0.8142543860711526
29/1/2021 (v5.0),Montreal Canadiens,ATL,0.03267037927906299
29/1/2021 (v5.0),Nashville Predators,CEN,0.5985293706239931
29/1/2021 (v5.0),New Jersey Devils,MET,0.3081221707683941
29/1/2021 (v5.0),New York Islanders,MET,0.3260849396108743
29/1/2021 (v5.0),New York Rangers,MET,0.5733248893269809
29/1/2021 (v5.0),Ottawa Senators,ATL,0.19821968252874628
29/1/2021 (v5.0),Philadelphia Flyers,MET,0.1303696049185358
29/1/2021 (v5.0),Pittsburgh Penguins,MET,0.8704768812494319
29/1/2021 (v5.0),San Jose Sharks,PAC,0.33762982161136057
29/1/2021 (v5.0),Seattle Kraken,PAC,0.19070400678591665
29/1/2021 (v5.0),St. Louis Blues,CEN,0.7175400476964193
29/1/2021 (v5.0),Tampa Bay Lightning,ATL,0.7474471103049274
29/1/2021 (v5.0),Toronto Maple Leafs,ATL,0.8555643771745403
29/1/2021 (v5.0),Vancouver Canucks,PAC,0.41220425221612556
29/1/2021 (v5.0),Vegas Golden Knights,PAC,0.7264537866645582
29/1/2021 (v5.0),Washington Capitals,MET,0.7781717504228366
29/1/2021 (v5.0),Winnipeg Jets,CEN,0.5074336638893318
26/2/2021 (v5.0),Anaheim Ducks,PAC,0.3802075089097455
26/2/2021 (v5.0),Arizona Coyotes,CEN,0.04000469524186846
26/2/2021 (v5.0),Boston Bruins,ATL,0.6929620708572874
26/2/2021 (v5.0),Buffalo Sabres,ATL,0.09767927347613874
26/2/2021 (v5.0),Calgary Flames,CEN,0.9216187898149174
26/2/2021 (v5.0),Carolina Hurricanes,MET,0.9220103917575109
26/2/2021 (v5.0),Chicago Blackhawks,CEN,0.12633707014989673
26/2/2021 (v5.0),Colorado Avalanche,CEN,0.9147315013023526
26/2/2021 (v5.0),Columbus Blue Jackets,MET,0.2409714307960376
26/2/2021 (v5.0),Dallas Stars,CEN,0.47754547056244906
26/2/2021 (v5.0),Detroit Red Wings,ATL,0.17033304347047815
26/2/2021 (v5.0),Edmonton Oilers,PAC,0.5713711163337347
26/2/2021 (v5.0),Florida Panthers,ATL,0.9255473779927876
26/2/2021 (v5.0),Los Angeles Kings,PAC,0.7192688812641732
26/2/2021 (v5.0),Minnesota Wild,CEN,0.7264095512553673
26/2/2021 (v5.0),Montreal Canadiens,ATL,0.050389322046420076
26/2/2021 (v5.0),Nashville Predators,CEN,0.5265151827468743
26/2/2021 (v5.0),New Jersey Devils,MET,0.2995690218109607
26/2/2021 (v5.0),New York Islanders,MET,0.3510327904881341
26/2/2021 (v5.0),New York Rangers,MET,0.6021773827344102
26/2/2021 (v5.0),Ottawa Senators,ATL,0.21155873271174724
26/2/2021 (v5.0),Philadelphia Flyers,MET,0.13514279801242676
26/2/2021 (v5.0),Pittsburgh Penguins,MET,0.8191688664953182
26/2/2021 (v5.0),San Jose Sharks,PAC,0.2577348304232998
26/2/2021 (v5.0),Seattle Kraken,PAC,0.16783056704446883
26/2/2021 (v5.0),St. Louis Blues,CEN,0.7551878111129421
26/2/2021 (v5.0),Tampa Bay Lightning,ATL,0.7722483392248515
26/2/2021 (v5.0),Toronto Maple Leafs,ATL,0.8658455006835685
26/2/2021 (v5.0),Vancouver Canucks,PAC,0.5036895205518731
26/2/2021 (v5.0),Vegas Golden Knights,PAC,0.6895082740436823
26/2/2021 (v5.0),Washington Capitals,MET,0.7287533025006532
26/2/2021 (v5.0),Winnipeg Jets,CEN,0.4591417237852738
05/03/2021 (v5.0),Anaheim Ducks,PAC,0.3550687767760314
05/03/2021 (v5.0),Arizona Coyotes,CEN,0.04893270634394253
05/03/2021 (v5.0),Boston Bruins,ATL,0.74877973969417
05/03/2021 (v5.0),Buffalo Sabres,ATL,0.12205969534665194
05/03/2021 (v5.0),Calgary Flames,CEN,0.9217525188096881
05/03/2021 (v5.0),Carolina Hurricanes,MET,0.9024812753946305
05/03/2021 (v5.0),Chicago Blackhawks,CEN,0.12419435562494682
05/03/2021 (v5.0),Colorado Avalanche,CEN,0.9104620874874787
05/03/2021 (v5.0),Columbus Blue Jackets,MET,0.24273988017724846
05/03/2021 (v5.0),Dallas Stars,CEN,0.5079849040104847
05/03/2021 (v5.0),Detroit Red Wings,ATL,0.15506834277567055
05/03/2021 (v5.0),Edmonton Oilers,PAC,0.5491915421988899
05/03/2021 (v5.0),Florida Panthers,ATL,0.9386871769687756
05/03/2021 (v5.0),Los Angeles Kings,PAC,0.6604812059912977
05/03/2021 (v5.0),Minnesota Wild,CEN,0.7033993192305502
05/03/2021 (v5.0),Montreal Canadiens,ATL,0.059627673071073424
05/03/2021 (v5.0),Nashville Predators,CEN,0.5767271409352328
05/03/2021 (v5.0),New Jersey Devils,MET,0.3140554601970765
05/03/2021 (v5.0),New York Islanders,MET,0.35781638315996256
