Rating Date,Team,Division,Strength of Schedule
29/1/2021 (v5.0),Montreal Canadiens,ATL,0.005127974134439725
29/1/2021 (v5.0),Nashville Predators,CEN,0.6827706781003205
29/1/2021 (v5.0),New Jersey Devils,MET,0.060040619437410285
29/1/2021 (v5.0),New York Islanders,MET,0.1377836031779804
29/1/2021 (v5.0),New York Rangers,MET,0.7947774345084928
29/1/2021 (v5.0),Ottawa Senators,ATL,0.04132927111084491
29/1/2021 (v5.0),Philadelphia Flyers,MET,0.025708013484490914
29/1/2021 (v5.0),Pittsburgh Penguins,MET,0.7374358442656989
29/1/2021 (v5.0),San Jose Sharks,PAC,0.39545308180741495
29/1/2021 (v5.0),Seattle Kraken,PAC,0.05649380756543925
29/1/2021 (v5.0),St. Louis Blues,CEN,0.5644193914028987
29/1/2021 (v5.0),Tampa Bay Lightning,ATL,0.9128365128749057
29/1/2021 (v5.0),Toronto Maple Leafs,ATL,0.9425361972108817
29/1/2021 (v5.0),Vancouver Canucks,PAC,0.2748113146181535
29/1/2021 (v5.0),Vegas Golden Knights,PAC,0.798525799319675
29/1/2021 (v5.0),Washington Capitals,MET,0.42677934526137956
29/1/2021 (v5.0),Winnipeg Jets,CEN,0.20032417224667043
26/2/2021 (v5.0),Anaheim Ducks,PAC,0.2630547910812871
26/2/2021 (v5.0),Arizona Coyotes,CEN,0.01458337282249538
26/2/2021 (v5.0),Boston Bruins,ATL,0.7490021432257462
26/2/2021 (v5.0),Buffalo Sabres,ATL,0.011560969274861678
26/2/2021 (v5.0),Calgary Flames,CEN,0.7425082194489891
26/2/2021 (v5.0),Carolina Hurricanes,MET,0.92149331169113
26/2/2021 (v5.0),Chicago Blackhawks,CEN,0.0854973032741859
26/2/2021 (v5.0),Colorado Avalanche,CEN,0.946736123844935
26/2/2021 (v5.0),Columbus Blue Jackets,MET,0.5545791657905346
26/2/2021 (v5.0),Dallas Stars,CEN,0.6700645269826224
26/2/2021 (v5.0),Detroit Red Wings,ATL,0.18937854817337776
26/2/2021 (v5.0),Edmonton Oilers,PAC,0.5247950661164446
26/2/2021 (v5.0),Florida Panthers,ATL,0.9289509616541136
26/2/2021 (v5.0),Los Angeles Kings,PAC,0.6598430912768386
26/2/2021 (v5.0),Minnesota Wild,CEN,0.7938174733151601
26/2/2021 (v5.0),Montreal Canadiens,ATL,0.006951470029762087
26/2/2021 (v5.0),Nashville Predators,CEN,0.6668894974532599
26/2/2021 (v5.0),New Jersey Devils,MET,0.048825726214961014
