Rating Date,Team,Division,Average Ranking
13/11/2021 (THG),Seattle Kraken,PAC,29.400
13/11/2021 (THG),St. Louis Blues,CEN,6.600
13/11/2021 (THG),Tampa Bay Lightning,ATL,7.600
13/11/2021 (THG),Toronto Maple Leafs,ATL,10.800
13/11/2021 (THG),Vancouver Canucks,PAC,27.200
13/11/2021 (THG),Vegas Golden Knights,PAC,17.200
13/11/2021 (THG),Washington Capitals,MET,7.400
13/11/2021 (THG),Winnipeg Jets,CEN,13.000
20/11/2021 (v1.0),Anaheim Ducks,PAC,20.667
20/11/2021 (v1.0),Arizona Coyotes,CEN,31.667
20/11/2021 (v1.0),Boston Bruins,ATL,9.500
20/11/2021 (v1.0),Buffalo Sabres,ATL,23.167
20/11/2021 (v1.0),Calgary Flames,CEN,8.333
20/11/2021 (v1.0),Carolina Hurricanes,MET,1.667
20/11/2021 (v1.0),Chicago Blackhawks,CEN,29.500
20/11/2021 (v1.0),Colorado Avalanche,CEN,12.500
20/11/2021 (v1.0),Columbus Blue Jackets,MET,18.833
20/11/2021 (v1.0),Dallas Stars,CEN,21.667
20/11/2021 (v1.0),Detroit Red Wings,ATL,23.333
20/11/2021 (v1.0),Edmonton Oilers,PAC,2.833
20/11/2021 (v1.0),Florida Panthers,ATL,1.667
20/11/2021 (v1.0),Los Angeles Kings,PAC,22.000
20/11/2021 (v1.0),Minnesota Wild,CEN,7.833
20/11/2021 (v1.0),Montréal Canadiens,ATL,29.500
20/11/2021 (v1.0),Nashville Predators,CEN,22.167
20/11/2021 (v1.0),New Jersey Devils,MET,19.500
20/11/2021 (v1.0),New York Islanders,MET,16.833
20/11/2021 (v1.0),New York Rangers,MET,12.500
20/11/2021 (v1.0),Ottawa Senators,ATL,26.333
20/11/2021 (v1.0),Philadelphia Flyers,MET,11.833
20/11/2021 (v1.0),Pittsburgh Penguins,MET,19.500
20/11/2021 (v1.0),San Jose Sharks,PAC,16.167
20/11/2021 (v1.0),Seattle Kraken,PAC,28.833
20/11/2021 (v1.0),St. Louis Blues,CEN,7.000
20/11/2021 (v1.0),Tampa Bay Lightning,ATL,8.167
20/11/2021 (v1.0),Toronto Maple Leafs,ATL,10.000
20/11/2021 (v1.0),Vancouver Canucks,PAC,27.167
20/11/2021 (v1.0),Vegas Golden Knights,PAC,16.833
20/11/2021 (v1.0),Washington Capitals,MET,7.000
20/11/2021 (v1.0),Winnipeg Jets,CEN,13.500
27/11/2021 (v2.0),Anaheim Ducks,PAC,19.714
27/11/2021 (v2.0),Arizona Coyotes,CEN,31.714
27/11/2021 (v2.0),Boston Bruins,ATL,9.286
27/11/2021 (v2.0),Buffalo Sabres,ATL,23.857
27/11/2021 (v2.0),Calgary Flames,CEN,8.143
27/11/2021 (v2.0),Carolina Hurricanes,MET,1.714
27/11/2021 (v2.0),Chicago Blackhawks,CEN,29.143
27/11/2021 (v2.0),Colorado Avalanche,CEN,12.429
27/11/2021 (v2.0),Columbus Blue Jackets,MET,18.714
27/11/2021 (v2.0),Dallas Stars,CEN,20.857
27/11/2021 (v2.0),Detroit Red Wings,ATL,23.000
27/11/2021 (v2.0),Edmonton Oilers,PAC,2.571
27/11/2021 (v2.0),Florida Panthers,ATL,1.857
27/11/2021 (v2.0),Los Angeles Kings,PAC,22.000
27/11/2021 (v2.0),Minnesota Wild,CEN,7.429
27/11/2021 (v2.0),Montréal Canadiens,ATL,29.714
27/11/2021 (v2.0),Nashville Predators,CEN,21.143
27/11/2021 (v2.0),New Jersey Devils,MET,20.000
27/11/2021 (v2.0),New York Islanders,MET,18.571
27/11/2021 (v2.0),New York Rangers,MET,11.571
27/11/2021 (v2.0),Ottawa Senators,ATL,26.857
27/11/2021 (v2.0),Philadelphia Flyers,MET,13.714
27/11/2021 (v2.0),Pittsburgh Penguins,MET,19.571
27/11/2021 (v2.0),San Jose Sharks,PAC,16.286
27/11/2021 (v2.0),Seattle Kraken,PAC,28.143
27/11/2021 (v2.0),St. Louis Blues,CEN,7.857
27/11/2021 (v2.0),Tampa Bay Lightning,ATL,8.286
27/11/2021 (v2.0),Toronto Maple Leafs,ATL,9.143
27/11/2021 (v2.0),Vancouver Canucks,PAC,27.000
27/11/2021 (v2.0),Vegas Golden Knights,PAC,16.000
27/11/2021 (v2.0),Washington Capitals,MET,7.429
27/11/2021 (v2.0),Winnipeg Jets,CEN,14.286
4/12/2021 (v2.1),Anaheim Ducks,PAC,19.375
4/12/2021 (v2.1),Arizona Coyotes,CEN,31.750
4/12/2021 (v2.1),Boston Bruins,ATL,8.875
4/12/2021 (v2.1),Buffalo Sabres,ATL,24.625
4/12/2021 (v2.1),Calgary Flames,CEN,9.125
4/12/2021 (v2.1),Carolina Hurricanes,MET,1.625
4/12/2021 (v2.1),Chicago Blackhawks,CEN,29.125
4/12/2021 (v2.1),Colorado Avalanche,CEN,11.750
4/12/2021 (v2.1),Columbus Blue Jackets,MET,18.875
4/12/2021 (v2.1),Dallas Stars,CEN,20.625
4/12/2021 (v2.1),Detroit Red Wings,ATL,23.000
4/12/2021 (v2.1),Edmonton Oilers,PAC,3.250
4/12/2021 (v2.1),Florida Panthers,ATL,2.000
4/12/2021 (v2.1),Los Angeles Kings,PAC,21.875
4/12/2021 (v2.1),Minnesota Wild,CEN,7.125
4/12/2021 (v2.1),Montréal Canadiens,ATL,29.875
4/12/2021 (v2.1),Nashville Predators,CEN,19.875
4/12/2021 (v2.1),New Jersey Devils,MET,20.250
4/12/2021 (v2.1),New York Islanders,MET,19.500
4/12/2021 (v2.1),New York Rangers,MET,10.625
4/12/2021 (v2.1),Ottawa Senators,ATL,27.000
4/12/2021 (v2.1),Philadelphia Flyers,MET,15.000
4/12/2021 (v2.1),Pittsburgh Penguins,MET,18.875
4/12/2021 (v2.1),San Jose Sharks,PAC,16.125
4/12/2021 (v2.1),Seattle Kraken,PAC,27.750
4/12/2021 (v2.1),St. Louis Blues,CEN,8.125
4/12/2021 (v2.1),Tampa Bay Lightning,ATL,8.875
4/12/2021 (v2.1),Toronto Maple Leafs,ATL,8.250
4/12/2021 (v2.1),Vancouver Canucks,PAC,27.000
4/12/2021 (v2.1),Vegas Golden Knights,PAC,15.500
4/12/2021 (v2.1),Washington Capitals,MET,7.625
4/12/2021 (v2.1),Winnipeg Jets,CEN,14.750
11/12/2021 (v2.2),Anaheim Ducks,PAC,19.000
11/12/2021 (v2.2),Arizona Coyotes,CEN,31.778
11/12/2021 (v2.2),Boston Bruins,ATL,9.222
11/12/2021 (v2.2),Buffalo Sabres,ATL,25.111
11/12/2021 (v2.2),Calgary Flames,CEN,9.778
11/12/2021 (v2.2),Carolina Hurricanes,MET,1.556
11/12/2021 (v2.2),Chicago Blackhawks,CEN,29.222
11/12/2021 (v2.2),Colorado Avalanche,CEN,10.889
11/12/2021 (v2.2),Columbus Blue Jackets,MET,19.111
11/12/2021 (v2.2),Dallas Stars,CEN,20.444
11/12/2021 (v2.2),Detroit Red Wings,ATL,23.000
11/12/2021 (v2.2),Edmonton Oilers,PAC,3.667
11/12/2021 (v2.2),Florida Panthers,ATL,2.444
11/12/2021 (v2.2),Los Angeles Kings,PAC,21.667
11/12/2021 (v2.2),Minnesota Wild,CEN,7.444
11/12/2021 (v2.2),Montréal Canadiens,ATL,30.000
11/12/2021 (v2.2),Nashville Predators,CEN,18.222
11/12/2021 (v2.2),New Jersey Devils,MET,21.000
11/12/2021 (v2.2),New York Islanders,MET,20.222
11/12/2021 (v2.2),New York Rangers,MET,9.778
11/12/2021 (v2.2),Ottawa Senators,ATL,27.111
11/12/2021 (v2.2),Philadelphia Flyers,MET,16.000
11/12/2021 (v2.2),Pittsburgh Penguins,MET,18.333
11/12/2021 (v2.2),San Jose Sharks,PAC,16.222
11/12/2021 (v2.2),Seattle Kraken,PAC,27.444
11/12/2021 (v2.2),St. Louis Blues,CEN,8.667
11/12/2021 (v2.2),Tampa Bay Lightning,ATL,8.889
11/12/2021 (v2.2),Toronto Maple Leafs,ATL,7.556
11/12/2021 (v2.2),Vancouver Canucks,PAC,26.444
11/12/2021 (v2.2),Vegas Golden Knights,PAC,14.667
11/12/2021 (v2.2),Washington Capitals,MET,8.000
11/12/2021 (v2.2),Winnipeg Jets,CEN,15.111
1/1/2022 (v2.3),Anaheim Ducks,PAC,18.700
1/1/2022 (v2.3),Arizona Coyotes,CEN,31.700
1/1/2022 (v2.3),Boston Bruins,ATL,9.400
1/1/2022 (v2.3),Buffalo Sabres,ATL,25.500
1/1/2022 (v2.3),Calgary Flames,CEN,10.100
1/1/2022 (v2.3),Carolina Hurricanes,MET,1.500
1/1/2022 (v2.3),Chicago Blackhawks,CEN,29.300
1/1/2022 (v2.3),Colorado Avalanche,CEN,10.200
1/1/2022 (v2.3),Columbus Blue Jackets,MET,19.700
1/1/2022 (v2.3),Dallas Stars,CEN,20.400
1/1/2022 (v2.3),Detroit Red Wings,ATL,23.100
1/1/2022 (v2.3),Edmonton Oilers,PAC,4.700
1/1/2022 (v2.3),Florida Panthers,ATL,2.500
1/1/2022 (v2.3),Los Angeles Kings,PAC,21.400
1/1/2022 (v2.3),Minnesota Wild,CEN,8.200
1/1/2022 (v2.3),Montréal Canadiens,ATL,30.200
1/1/2022 (v2.3),Nashville Predators,CEN,17.300
1/1/2022 (v2.3),New Jersey Devils,MET,21.500
1/1/2022 (v2.3),New York Islanders,MET,20.400
1/1/2022 (v2.3),New York Rangers,MET,9.800
1/1/2022 (v2.3),Ottawa Senators,ATL,27.200
1/1/2022 (v2.3),Philadelphia Flyers,MET,16.700
1/1/2022 (v2.3),Pittsburgh Penguins,MET,17.300
1/1/2022 (v2.3),San Jose Sharks,PAC,16.300
1/1/2022 (v2.3),Seattle Kraken,PAC,27.400
1/1/2022 (v2.3),St. Louis Blues,CEN,8.300
1/1/2022 (v2.3),Tampa Bay Lightning,ATL,9.200
1/1/2022 (v2.3),Toronto Maple Leafs,ATL,7.000
1/1/2022 (v2.3),Vancouver Canucks,PAC,25.900
1/1/2022 (v2.3),Vegas Golden Knights,PAC,13.800
1/1/2022 (v2.3),Washington Capitals,MET,7.900
1/1/2022 (v2.3),Winnipeg Jets,CEN,15.400
2/1/2022 (v3.0),Anaheim Ducks,PAC,18.455
2/1/2022 (v3.0),Arizona Coyotes,CEN,31.636
2/1/2022 (v3.0),Boston Bruins,ATL,9.545
2/1/2022 (v3.0),Buffalo Sabres,ATL,25.909
2/1/2022 (v3.0),Calgary Flames,CEN,10.364
2/1/2022 (v3.0),Carolina Hurricanes,MET,1.455
2/1/2022 (v3.0),Chicago Blackhawks,CEN,29.182
2/1/2022 (v3.0),Colorado Avalanche,CEN,9.545
2/1/2022 (v3.0),Columbus Blue Jackets,MET,20.273
2/1/2022 (v3.0),Dallas Stars,CEN,20.364
2/1/2022 (v3.0),Detroit Red Wings,ATL,23.182
2/1/2022 (v3.0),Edmonton Oilers,PAC,6.182
2/1/2022 (v3.0),Florida Panthers,ATL,2.636
2/1/2022 (v3.0),Los Angeles Kings,PAC,20.818
2/1/2022 (v3.0),Minnesota Wild,CEN,8.727
2/1/2022 (v3.0),Montréal Canadiens,ATL,30.364
2/1/2022 (v3.0),Nashville Predators,CEN,16.364
2/1/2022 (v3.0),New Jersey Devils,MET,22.000
2/1/2022 (v3.0),New York Islanders,MET,20.545
2/1/2022 (v3.0),New York Rangers,MET,10.000
2/1/2022 (v3.0),Ottawa Senators,ATL,27.000
2/1/2022 (v3.0),Philadelphia Flyers,MET,17.273
2/1/2022 (v3.0),Pittsburgh Penguins,MET,16.455
2/1/2022 (v3.0),San Jose Sharks,PAC,16.545
2/1/2022 (v3.0),Seattle Kraken,PAC,27.545
2/1/2022 (v3.0),St. Louis Blues,CEN,8.000
2/1/2022 (v3.0),Tampa Bay Lightning,ATL,9.273
2/1/2022 (v3.0),Toronto Maple Leafs,ATL,6.545
2/1/2022 (v3.0),Vancouver Canucks,PAC,25.091
2/1/2022 (v3.0),Vegas Golden Knights,PAC,13.091
2/1/2022 (v3.0),Washington Capitals,MET,8.000
2/1/2022 (v3.0),Winnipeg Jets,CEN,15.636
8/1/2022 (v3.0),Anaheim Ducks,PAC,18.417
8/1/2022 (v3.0),Arizona Coyotes,CEN,31.583
8/1/2022 (v3.0),Boston Bruins,ATL,9.417
8/1/2022 (v3.0),Buffalo Sabres,ATL,26.250
8/1/2022 (v3.0),Calgary Flames,CEN,11.083
8/1/2022 (v3.0),Carolina Hurricanes,MET,1.417
8/1/2022 (v3.0),Chicago Blackhawks,CEN,29.167
8/1/2022 (v3.0),Colorado Avalanche,CEN,8.917
8/1/2022 (v3.0),Columbus Blue Jackets,MET,20.833
8/1/2022 (v3.0),Dallas Stars,CEN,20.083
8/1/2022 (v3.0),Detroit Red Wings,ATL,23.417
8/1/2022 (v3.0),Edmonton Oilers,PAC,7.500
8/1/2022 (v3.0),Florida Panthers,ATL,2.833
8/1/2022 (v3.0),Los Angeles Kings,PAC,20.333
8/1/2022 (v3.0),Minnesota Wild,CEN,9.083
8/1/2022 (v3.0),Montréal Canadiens,ATL,30.500
8/1/2022 (v3.0),Nashville Predators,CEN,15.500
8/1/2022 (v3.0),New Jersey Devils,MET,22.167
8/1/2022 (v3.0),New York Islanders,MET,20.583
8/1/2022 (v3.0),New York Rangers,MET,10.083
8/1/2022 (v3.0),Ottawa Senators,ATL,26.833
8/1/2022 (v3.0),Philadelphia Flyers,MET,17.750
8/1/2022 (v3.0),Pittsburgh Penguins,MET,15.417
8/1/2022 (v3.0),San Jose Sharks,PAC,16.833
8/1/2022 (v3.0),Seattle Kraken,PAC,27.583
8/1/2022 (v3.0),St. Louis Blues,CEN,7.917
8/1/2022 (v3.0),Tampa Bay Lightning,ATL,9.333
8/1/2022 (v3.0),Toronto Maple Leafs,ATL,6.250
8/1/2022 (v3.0),Vancouver Canucks,PAC,24.167
8/1/2022 (v3.0),Vegas Golden Knights,PAC,12.750
8/1/2022 (v3.0),Washington Capitals,MET,8.333
8/1/2022 (v3.0),Winnipeg Jets,CEN,15.667
13/1/2022 (v4.0),Anaheim Ducks,PAC,18.462
13/1/2022 (v4.0),Arizona Coyotes,CEN,31.538
13/1/2022 (v4.0),Boston Bruins,ATL,9.308
13/1/2022 (v4.0),Buffalo Sabres,ATL,26.538
13/1/2022 (v4.0),Calgary Flames,CEN,11.615
13/1/2022 (v4.0),Carolina Hurricanes,MET,1.385
13/1/2022 (v4.0),Chicago Blackhawks,CEN,29.154
13/1/2022 (v4.0),Colorado Avalanche,CEN,8.385
13/1/2022 (v4.0),Columbus Blue Jackets,MET,21.231
13/1/2022 (v4.0),Dallas Stars,CEN,19.692
13/1/2022 (v4.0),Detroit Red Wings,ATL,23.692
13/1/2022 (v4.0),Edmonton Oilers,PAC,8.538
13/1/2022 (v4.0),Florida Panthers,ATL,2.923
13/1/2022 (v4.0),Los Angeles Kings,PAC,19.846
13/1/2022 (v4.0),Minnesota Wild,CEN,9.308
13/1/2022 (v4.0),Montréal Canadiens,ATL,30.615
13/1/2022 (v4.0),Nashville Predators,CEN,14.692
13/1/2022 (v4.0),New Jersey Devils,MET,22.308
13/1/2022 (v4.0),New York Islanders,MET,20.692
13/1/2022 (v4.0),New York Rangers,MET,10.154
13/1/2022 (v4.0),Ottawa Senators,ATL,26.692
13/1/2022 (v4.0),Philadelphia Flyers,MET,18.154
13/1/2022 (v4.0),Pittsburgh Penguins,MET,14.692
13/1/2022 (v4.0),San Jose Sharks,PAC,17.077
13/1/2022 (v4.0),Seattle Kraken,PAC,27.615
13/1/2022 (v4.0),St. Louis Blues,CEN,7.846
13/1/2022 (v4.0),Tampa Bay Lightning,ATL,9.385
13/1/2022 (v4.0),Toronto Maple Leafs,ATL,6.000
13/1/2022 (v4.0),Vancouver Canucks,PAC,23.538
13/1/2022 (v4.0),Vegas Golden Knights,PAC,12.462
13/1/2022 (v4.0),Washington Capitals,MET,8.692
13/1/2022 (v4.0),Winnipeg Jets,CEN,15.769
15/1/2022 (v4.1),Anaheim Ducks,PAC,18.786
15/1/2022 (v4.1),Arizona Coyotes,CEN,31.429
15/1/2022 (v4.1),Boston Bruins,ATL,9.000
15/1/2022 (v4.1),Buffalo Sabres,ATL,26.714
15/1/2022 (v4.1),Calgary Flames,CEN,12.071
15/1/2022 (v4.1),Carolina Hurricanes,MET,1.357
15/1/2022 (v4.1),Chicago Blackhawks,CEN,28.786
15/1/2022 (v4.1),Colorado Avalanche,CEN,8.000
15/1/2022 (v4.1),Columbus Blue Jackets,MET,21.643
15/1/2022 (v4.1),Dallas Stars,CEN,19.429
15/1/2022 (v4.1),Detroit Red Wings,ATL,23.857
15/1/2022 (v4.1),Edmonton Oilers,PAC,9.429
15/1/2022 (v4.1),Florida Panthers,ATL,2.857
15/1/2022 (v4.1),Los Angeles Kings,PAC,19.286
15/1/2022 (v4.1),Minnesota Wild,CEN,9.571
15/1/2022 (v4.1),Montréal Canadiens,ATL,30.714
15/1/2022 (v4.1),Nashville Predators,CEN,14.357
15/1/2022 (v4.1),New Jersey Devils,MET,22.500
15/1/2022 (v4.1),New York Islanders,MET,20.643
