Rating Date,Team,Division,Rating Score
27/11/2021 (v2.0),Columbus Blue Jackets,MET,0.52
27/11/2021 (v2.0),Dallas Stars,CEN,0.54
27/11/2021 (v2.0),Detroit Red Wings,ATL,0.43
27/11/2021 (v2.0),Edmonton Oilers,PAC,0.74
27/11/2021 (v2.0),Florida Panthers,ATL,0.71
27/11/2021 (v2.0),Los Angeles Kings,PAC,0.41
27/11/2021 (v2.0),Minnesota Wild,CEN,0.68
27/11/2021 (v2.0),Montreal Canadiens,ATL,0.20
27/11/2021 (v2.0),Nashville Predators,CEN,0.54
27/11/2021 (v2.0),New Jersey Devils,MET,0.39
27/11/2021 (v2.0),New York Islanders,MET,0.24
27/11/2021 (v2.0),New York Rangers,MET,0.67
27/11/2021 (v2.0),Ottawa Senators,ATL,0.23
27/11/2021 (v2.0),Philadelphia Flyers,MET,0.33
27/11/2021 (v2.0),Pittsburgh Penguins,MET,0.46
27/11/2021 (v2.0),San Jose Sharks,PAC,0.53
27/11/2021 (v2.0),Seattle Kraken,PAC,0.36
27/11/2021 (v2.0),St. Louis Blues,CEN,0.55
27/11/2021 (v2.0),Tampa Bay Lightning,ATL,0.59
27/11/2021 (v2.0),Toronto Maple Leafs,ATL,0.70
27/11/2021 (v2.0),Vancouver Canucks,PAC,0.31
27/11/2021 (v2.0),Vegas Golden Knights,PAC,0.57
27/11/2021 (v2.0),Washington Capitals,MET,0.59
27/11/2021 (v2.0),Winnipeg Jets,CEN,0.48
4/12/2021 (v2.1),Anaheim Ducks,PAC,0.50
4/12/2021 (v2.1),Arizona Coyotes,CEN,0.16
4/12/2021 (v2.1),Boston Bruins,ATL,0.61
4/12/2021 (v2.1),Buffalo Sabres,ATL,0.23
4/12/2021 (v2.1),Calgary Flames,CEN,0.52
4/12/2021 (v2.1),Carolina Hurricanes,MET,0.75
4/12/2021 (v2.1),Chicago Blackhawks,CEN,0.24
4/12/2021 (v2.1),Colorado Avalanche,CEN,0.60
4/12/2021 (v2.1),Columbus Blue Jackets,MET,0.44
4/12/2021 (v2.1),Dallas Stars,CEN,0.45
4/12/2021 (v2.1),Detroit Red Wings,ATL,0.34
4/12/2021 (v2.1),Edmonton Oilers,PAC,0.58
4/12/2021 (v2.1),Florida Panthers,ATL,0.67
4/12/2021 (v2.1),Los Angeles Kings,PAC,0.44
4/12/2021 (v2.1),Minnesota Wild,CEN,0.61
4/12/2021 (v2.1),Montreal Canadiens,ATL,0.18
4/12/2021 (v2.1),Nashville Predators,CEN,0.56
4/12/2021 (v2.1),New Jersey Devils,MET,0.34
4/12/2021 (v2.1),New York Islanders,MET,0.30
4/12/2021 (v2.1),New York Rangers,MET,0.65
4/12/2021 (v2.1),Ottawa Senators,ATL,0.25
4/12/2021 (v2.1),Philadelphia Flyers,MET,0.34
4/12/2021 (v2.1),Pittsburgh Penguins,MET,0.53
4/12/2021 (v2.1),San Jose Sharks,PAC,0.52
4/12/2021 (v2.1),Seattle Kraken,PAC,0.33
4/12/2021 (v2.1),St. Louis Blues,CEN,0.56
4/12/2021 (v2.1),Tampa Bay Lightning,ATL,0.55
4/12/2021 (v2.1),Toronto Maple Leafs,ATL,0.67
4/12/2021 (v2.1),Vancouver Canucks,PAC,0.29
4/12/2021 (v2.1),Vegas Golden Knights,PAC,0.56
4/12/2021 (v2.1),Washington Capitals,MET,0.57
4/12/2021 (v2.1),Winnipeg Jets,CEN,0.47
11/12/2021 (v2.2),Anaheim Ducks,PAC,0.51
11/12/2021 (v2.2),Arizona Coyotes,CEN,0.17
11/12/2021 (v2.2),Boston Bruins,ATL,0.56
11/12/2021 (v2.2),Buffalo Sabres,ATL,0.25
11/12/2021 (v2.2),Calgary Flames,CEN,0.52
11/12/2021 (v2.2),Carolina Hurricanes,MET,0.74
11/12/2021 (v2.2),Chicago Blackhawks,CEN,0.24
11/12/2021 (v2.2),Colorado Avalanche,CEN,0.60
11/12/2021 (v2.2),Columbus Blue Jackets,MET,0.38
11/12/2021 (v2.2),Dallas Stars,CEN,0.43
11/12/2021 (v2.2),Detroit Red Wings,ATL,0.37
11/12/2021 (v2.2),Edmonton Oilers,PAC,0.59
11/12/2021 (v2.2),Florida Panthers,ATL,0.60
11/12/2021 (v2.2),Los Angeles Kings,PAC,0.43
11/12/2021 (v2.2),Minnesota Wild,CEN,0.57
11/12/2021 (v2.2),Montreal Canadiens,ATL,0.18
11/12/2021 (v2.2),Nashville Predators,CEN,0.60
11/12/2021 (v2.2),New Jersey Devils,MET,0.30
11/12/2021 (v2.2),New York Islanders,MET,0.31
11/12/2021 (v2.2),New York Rangers,MET,0.60
11/12/2021 (v2.2),Ottawa Senators,ATL,0.27
11/12/2021 (v2.2),Philadelphia Flyers,MET,0.36
11/12/2021 (v2.2),Pittsburgh Penguins,MET,0.55
11/12/2021 (v2.2),San Jose Sharks,PAC,0.49
11/12/2021 (v2.2),Seattle Kraken,PAC,0.32
11/12/2021 (v2.2),St. Louis Blues,CEN,0.56
11/12/2021 (v2.2),Tampa Bay Lightning,ATL,0.57
