Forward	Power Play Utilization Base	Team
142 Reilly Smith	0.33314606741573033	Vegas Golden Knights
143 Phil Kessel	0.33286516853932585	Vegas Golden Knights
144 Scott Laughton	0.332168458781362	Philadelphia Flyers
145 Nino Niederreiter	0.3308922558922559	Nashville Predators
146 Oskar Sundqvist	0.3266025641025641	Detroit Red Wings
147 David Krejci	0.32597597597597594	Boston Bruins
148 Sam Bennett	0.32471014492753625	Florida Panthers
149 Carter Verhaeghe	0.32304347826086954	Florida Panthers
150 Lawson Crouse	0.3208801498127341	Arizona Coyotes
151 Seth Jarvis	0.31529209621993126	Carolina Hurricanes
152 Phillip Danault	0.3128917378917379	Los Angeles Kings
153 Philipp Kurashev	0.3088293650793651	Chicago Blackhawks
154 Andrew Mangiapane	0.3085760517799353	Calgary Flames
155 Trevor Moore	0.3076210826210826	Los Angeles Kings
156 Mason Marchment	0.3053442028985507	Dallas Stars
157 Evan Rodrigues	0.3051215277777778	Colorado Avalanche
158 Matias Maccelli	0.30271535580524345	Arizona Coyotes
159 Taylor Hall	0.3021021021021021	Boston Bruins
160 Corey Perry	0.30147975077881617	Tampa Bay Lightning
161 Arthur Kaliyev	0.29992877492877495	Los Angeles Kings
162 Barrett Hayton	0.29765917602996256	Arizona Coyotes
163 Viktor Arvidsson	0.29665242165242167	Los Angeles Kings
164 Andrew Copp	0.29423076923076924	Detroit Red Wings
165 Kent Johnson	0.29356540084388183	Columbus Blue Jackets
166 Sam Gagner	0.292962962962963	Winnipeg Jets
167 Dawson Mercer	0.2891304347826087	New Jersey Devils
168 Wyatt Johnston	0.2875	Dallas Stars
169 Anton Lundell	0.287463768115942	Florida Panthers
170 Paul Stastny	0.2852233676975945	Carolina Hurricanes
171 Alex Killorn	0.28208722741433023	Tampa Bay Lightning
172 Shane Pinto	0.28112094395280235	Ottawa Senators
173 Nicolas Roy	0.2810861423220974	Vegas Golden Knights
174 Jesperi Kotkaniemi	0.2755154639175258	Carolina Hurricanes
175 Luke Kunin	0.274375	San Jose Sharks
176 Brock Boeser	0.27376237623762373	Vancouver Canucks
177 Tomas Tatar	0.2688405797101449	New Jersey Devils
178 Brandon Saad	0.26729957805907173	St. Louis Blues
179 Gustav Nyquist	0.2636075949367089	Columbus Blue Jackets
180 Mikael Backlund	0.2620550161812298	Calgary Flames
181 Mike Hoffman	0.25884879725085913	Montréal Canadiens
182 Alex Newhook	0.2576388888888889	Colorado Avalanche
183 Dylan Guenther	0.25683520599250936	Arizona Coyotes
184 Andreas Athanasiou	0.2565476190476191	Chicago Blackhawks
185 MacKenzie Entwistle	0.2526785714285714	Chicago Blackhawks
186 Cole Perfetti	0.2525	Winnipeg Jets
187 Erik Haula	0.2519927536231884	New Jersey Devils
188 Kevin Labanc	0.24958333333333332	San Jose Sharks
189 Daniel Sprong	0.24901433691756275	Seattle Kraken
190 Kyle Palmieri	0.24861111111111112	New York Islanders
191 Jakob Silfverberg	0.24796511627906975	Anaheim Ducks
192 Frank Vatrano	0.2444767441860465	Anaheim Ducks
193 Miles Wood	0.2418478260869565	New Jersey Devils
194 Zach Parise	0.2412037037037037	New York Islanders
195 Vladislav Namestnikov	0.23387850467289717	Tampa Bay Lightning
196 Adam Ruzicka	0.22985436893203884	Calgary Flames
197 Christian Dvorak	0.22740549828178694	Montréal Canadiens
198 Teuvo Teravainen	0.22654639175257735	Carolina Hurricanes
199 Jakub Voracek	0.220042194092827	Columbus Blue Jackets
200 Michael Bunting	0.21930693069306928	Toronto Maple Leafs
201 Brendan Gallagher	0.21915807560137457	Montréal Canadiens
202 Jack Quinn	0.21887905604719765	Buffalo Sabres
203 Nick Bonino	0.2165625	San Jose Sharks
204 Nathan Bastian	0.21358695652173912	New Jersey Devils
205 Josh Anderson	0.21245704467353954	Montréal Canadiens
206 Patric Hornqvist	0.21166666666666664	Florida Panthers
207 Adam Lowry	0.21092592592592593	Winnipeg Jets
208 Yegor Chinakhov	0.21044303797468356	Columbus Blue Jackets
209 Frederick Gaudreau	0.21024305555555556	Minnesota Wild
210 Conor Sheary	0.2099537037037037	Washington Capitals
211 Jeff Carter	0.2066006600660066	Pittsburgh Penguins
212 Josh Bailey	0.20657407407407405	New York Islanders
213 Pavel Zacha	0.20375375375375376	Boston Bruins
214 Jason Zucker	0.20132013201320131	Pittsburgh Penguins
215 Ross Colton	0.19439252336448598	Tampa Bay Lightning
