Forward	Even Strength Utilization Base	Team
151 Nathan MacKinnon	0.21424731182795698	Colorado Avalanche
152 Adam Erne	0.21389756944444444	Detroit Red Wings
153 Jesperi Kotkaniemi	0.21357744107744106	Carolina Hurricanes
154 Alexander Barabanov	0.2135238095238095	San Jose Sharks
155 Dawson Mercer	0.21322390572390573	New Jersey Devils
156 Barclay Goodrow	0.2125873015873016	New York Rangers
157 Christian Fischer	0.21203405017921145	Arizona Coyotes
158 Dillon Dube	0.2118709150326797	Calgary Flames
159 Zach Parise	0.21113562091503266	New York Islanders
160 Wyatt Johnston	0.21093954248366012	Dallas Stars
161 Pavel Zacha	0.21090277777777777	Boston Bruins
162 Josh Anderson	0.21027777777777779	Montréal Canadiens
163 Marcus Johansson	0.20931746031746032	Washington Capitals
164 Viktor Arvidsson	0.2091435185185185	Los Angeles Kings
165 Dylan Cozens	0.20850694444444443	Buffalo Sabres
166 Dominik Kubalik	0.20850694444444443	Detroit Red Wings
167 Frederick Gaudreau	0.20845959595959596	Minnesota Wild
168 Blake Wheeler	0.20805555555555555	Winnipeg Jets
169 Gabriel Vilardi	0.20787037037037037	Los Angeles Kings
170 Jonathan Huberdeau	0.20755718954248367	Calgary Flames
171 Alexander Kerfoot	0.2074264705882353	Toronto Maple Leafs
172 Travis Konecny	0.20710784313725492	Philadelphia Flyers
173 Scott Laughton	0.2064624183006536	Philadelphia Flyers
174 Ryan Johansen	0.20629032258064517	Nashville Predators
175 Andrei Kuzmenko	0.20581597222222223	Vancouver Canucks
176 Lawson Crouse	0.2057885304659498	Arizona Coyotes
177 Anthony Beauvillier	0.20566176470588235	New York Islanders
178 Jason Zucker	0.20549663299663298	Pittsburgh Penguins
179 Patrice Bergeron	0.20521701388888888	Boston Bruins
180 Tanner Jeannot	0.20519713261648748	Nashville Predators
181 Sam Steel	0.2050841750841751	Minnesota Wild
182 David Kampf	0.20383986928104575	Toronto Maple Leafs
183 Casey Mittelstadt	0.20342013888888888	Buffalo Sabres
184 Brandon Tanev	0.20337673611111112	Seattle Kraken
185 Matias Maccelli	0.2032078853046595	Arizona Coyotes
186 Morgan Frost	0.20258986928104578	Philadelphia Flyers
187 Eetu Luostarinen	0.202140522875817	Florida Panthers
188 Jeff Skinner	0.20213541666666668	Buffalo Sabres
189 Jesse Puljujarvi	0.20191176470588235	Edmonton Oilers
190 Jesper Fast	0.20122053872053872	Carolina Hurricanes
