Forward	Plus_Minus Base	Team
165 Sam Bennett	15.899999999999999	Florida Panthers
166 Ryan Hartman	15.766666666666667	Minnesota Wild
167 Kirby Dach	15.633333333333333	Montréal Canadiens
168 Mark Jankowski	15.616666666666667	Nashville Predators
169 Keegan Kolesar	15.583333333333334	Vegas Golden Knights
170 Jeff Carter	15.55	Pittsburgh Penguins
171 Saku Maenalanen	15.5	Winnipeg Jets
172 Ryan Poehling	15.466666666666667	Pittsburgh Penguins
173 Nick Schmaltz	15.45	Arizona Coyotes
174 Andrei Svechnikov	15.433333333333334	Carolina Hurricanes
175 Alex DeBrincat	15.416666666666668	Ottawa Senators
176 Matias Maccelli	15.416666666666666	Arizona Coyotes
177 Yakov Trenin	15.4	Nashville Predators
178 Mattias Janmark	15.233333333333333	Edmonton Oilers
179 Troy Terry	15.166666666666668	Anaheim Ducks
180 Garnet Hathaway	15.15	Washington Capitals
181 Evan Rodrigues	15.100000000000001	Colorado Avalanche
182 Brett Howden	15.083333333333334	Vegas Golden Knights
183 Gabriel Vilardi	15.083333333333332	Los Angeles Kings
184 Pierre-Luc Dubois	15.083333333333332	Winnipeg Jets
185 Joe Veleno	14.966666666666667	Detroit Red Wings
186 Jesperi Kotkaniemi	14.95	Carolina Hurricanes
187 Noel Acciari	14.833333333333334	St. Louis Blues
188 Christian Dvorak	14.833333333333332	Montréal Canadiens
189 Mason Shaw	14.8	Minnesota Wild
190 Josh Leivo	14.783333333333333	St. Louis Blues
191 Sam Reinhart	14.683333333333334	Florida Panthers
192 Colin White	14.65	Florida Panthers
193 Tyler Bertuzzi	14.516666666666667	Detroit Red Wings
194 Adam Erne	14.4	Detroit Red Wings
195 Oskar Sundqvist	14.383333333333333	Detroit Red Wings
196 Kyle Palmieri	14.333333333333332	New York Islanders
197 Vincent Trocheck	14.25	New York Rangers
198 Vitali Kravtsov	14.25	New York Rangers
199 Phillip Danault	14.233333333333334	Los Angeles Kings
200 Joel Farabee	14.183333333333334	Philadelphia Flyers
