Forward	Points Base	Team
371 Andrew Cogliano	0.016795968967447814	Colorado Avalanche
372 Joe Snively	0.016755096341803968	Washington Capitals
373 Axel Jonsson-Fjallby	0.01667685807993774	Winnipeg Jets
374 Cole Smith	0.01654868070239956	Nashville Predators
375 Garnet Hathaway	0.016403686923918137	Washington Capitals
376 Max Comtois	0.016378227875743844	Anaheim Ducks
377 Mathieu Olivier	0.016271627705158106	Columbus Blue Jackets
378 Ryan Reaves	0.016266775111834077	Minnesota Wild
379 Steven Lorentz	0.016144945735043503	San Jose Sharks
380 Jujhar Khaira	0.016043495699451845	Chicago Blackhawks
381 Jakob Silfverberg	0.015867768595041323	Anaheim Ducks
382 Pat Maroon	0.015855398763278895	Tampa Bay Lightning
383 Cole Sillinger	0.015826958586125033	Columbus Blue Jackets
384 Casey Cizikas	0.015756893640967922	New York Islanders
385 Cal Clutterbuck	0.0157035175879397	New York Islanders
386 Denis Gurianov	0.01548866745830967	Dallas Stars
387 Sam Carrick	0.01526199762591148	Anaheim Ducks
388 Martin Kaut	0.01523100355390083	Colorado Avalanche
389 Dylan Holloway	0.015211053365445558	Edmonton Oilers
390 Max Jones	0.015149219815179518	Anaheim Ducks
391 Derek Stepan	0.01498969458497283	Carolina Hurricanes
392 Vasily Podkolzin	0.01491300745650373	Vancouver Canucks
393 Liam O'Brien	0.014850749962873125	Arizona Coyotes
394 Patric Hornqvist	0.014714297392299519	Florida Panthers
395 Alexander Holtz	0.014695077149155033	New Jersey Devils
396 Jesper Boqvist	0.014541929229277752	New Jersey Devils
397 Jack McBain	0.014505016318143358	Arizona Coyotes
398 Derek Grant	0.014498590414820782	Anaheim Ducks
399 Mark Kastelic	0.01434634467093072	Ottawa Senators
400 Nicolas Deslauriers	0.014257877477306212	Philadelphia Flyers
401 Denis Malgin	0.014104372355430182	Colorado Avalanche
402 MacKenzie Entwistle	0.013716793928032555	Chicago Blackhawks
403 Parker Kelly	0.013585418317672364	Ottawa Senators
404 Michael McCarron	0.013557790080216924	Nashville Predators
405 Radek Faksa	0.013333333333333334	Dallas Stars
406 Simon Holmstrom	0.013178124313639357	New York Islanders
407 Nils Aman	0.012821060729090986	Vancouver Canucks
408 Reese Johnson	0.012791358726549176	Chicago Blackhawks
409 Brett Leason	0.01278772378516624	Anaheim Ducks
410 Jake Evans	0.012771845176854578	Montréal Canadiens
411 Jordan Greenway	0.01272984441301273	Minnesota Wild
412 Tanner Jeannot	0.012482230158454977	Nashville Predators
413 Devin Shore	0.012295921852585559	Edmonton Oilers
414 David Gustafsson	0.012144519785446816	Winnipeg Jets
415 Jonah Gadjovich	0.012137149792657025	San Jose Sharks
416 Austin Watson	0.01194683657723132	Ottawa Senators
417 Patrick Brown	0.011609907120743033	Philadelphia Flyers
418 Barrett Hayton	0.010957303042477811	Arizona Coyotes
419 Brett Howden	0.01090578612541654	Vegas Golden Knights
420 Zach Aston-Reese	0.010708071208673538	Toronto Maple Leafs
421 Tyler Pitlick	0.010540184453227932	St. Louis Blues
422 Keegan Kolesar	0.010463899546564353	Vegas Golden Knights
423 Nathan Walker	0.010189352127027257	St. Louis Blues
424 Alexey Toropchenko	0.009785533719318274	St. Louis Blues
425 Jack Drury	0.009689922480620155	Carolina Hurricanes
426 Luke Glendening	0.009580455870025149	Dallas Stars
427 Joel Kiviranta	0.009504950495049505	Dallas Stars
428 Noah Gregor	0.00926497838171711	San Jose Sharks
429 Joel Armia	0.009250218407934632	Montréal Canadiens
430 Colin Blackwell	0.00919869174161897	Chicago Blackhawks
431 Dryden Hunt	0.008976660682226212	Toronto Maple Leafs
432 Pierre-Edouard Bellemare	0.008502598016060464	Tampa Bay Lightning
433 Michael Pezzetta	0.007469189592929168	Montréal Canadiens
434 Curtis Lazar	0.00735609636486238	Vancouver Canucks
435 Ben Meyers	0.007345739471106758	Colorado Avalanche
436 Zack Kassian	0.006603565925599824	Arizona Coyotes
437 Dylan Gambrell	0.006267627702914447	Ottawa Senators
438 Jayson Megna	0.005953562214725144	Anaheim Ducks
439 Justin Kirkland	0.0	Anaheim Ducks
440 Radim Zohorna	0.0	Calgary Flames
441 Matthew Phillips	0.0	Calgary Flames
442 Ondrej Kase	0.0	Carolina Hurricanes
443 Charles Hudon	0.0	Colorado Avalanche
444 Sampo Ranta	0.0	Colorado Avalanche
445 Jean-Luc Foudy	0.0	Colorado Avalanche
446 Carson Meyer	0.0	Columbus Blue Jackets
447 Josh Dunne	0.0	Columbus Blue Jackets
448 Riley Tufte	0.0	Dallas Stars
449 Filip Zadina	0.0	Detroit Red Wings
450 James Hamblin	0.0	Edmonton Oilers
451 Givani Smith	0.0	Florida Panthers
452 Steven Fogarty	0.0	Minnesota Wild
453 Samuel Walker	0.0	Minnesota Wild
454 Andreas Johnsson	0.0	New Jersey Devils
455 Rourke Chartier	0.0	Ottawa Senators
456 Max Willman	0.0	Philadelphia Flyers
457 Drew O'Connor	0.0	Pittsburgh Penguins
458 Jake Leschyshyn	0.0	Vegas Golden Knights
459 Connor Brown	0.0	Washington Capitals
