Forward	Utilization Rating	Team
149 Charlie Coyle	0.7205902092657674	Boston Bruins
150 Nick Bjugstad	0.718856709125047	Arizona Coyotes
151 Shane Pinto	0.717732457950183	Ottawa Senators
152 Luke Kunin	0.7168579418758151	San Jose Sharks
153 Pavel Zacha	0.7163515832937993	Boston Bruins
154 Dominik Kubalik	0.7147644649094143	Detroit Red Wings
155 Alexis Lafrenière	0.7139869205070313	New York Rangers
156 Jake DeBrusk	0.7129772107535961	Boston Bruins
157 Oliver Bjorkstrand	0.7126859878613001	Seattle Kraken
158 Ilya Mikheyev	0.7108465929318141	Vancouver Canucks
159 Tomas Tatar	0.7105022356435082	New Jersey Devils
160 Jordan Martinook	0.7070803090128818	Carolina Hurricanes
161 Ryan Johansen	0.7059145230065337	Nashville Predators
162 Cole Perfetti	0.7049350121986585	Winnipeg Jets
163 Logan O'Connor	0.7048040238301897	Colorado Avalanche
164 Gabriel Vilardi	0.7042889514134386	Los Angeles Kings
165 Alexander Barabanov	0.7021470013036449	San Jose Sharks
166 Alexander Kerfoot	0.6990850972296082	Toronto Maple Leafs
167 Jesperi Kotkaniemi	0.6953676947387258	Carolina Hurricanes
168 Jeff Skinner	0.6940196193594591	Buffalo Sabres
169 Dillon Dube	0.691506316996753	Calgary Flames
170 Jonathan Huberdeau	0.6882698598596237	Calgary Flames
171 Tanner Jeannot	0.6869032899692121	Nashville Predators
172 Christian Fischer	0.6859187647652918	Arizona Coyotes
173 Casey Mittelstadt	0.6859131795087405	Buffalo Sabres
174 Adam Erne	0.6832876693659371	Detroit Red Wings
175 Lars Eller	0.6822787410375969	Washington Capitals
176 Anthony Mantha	0.67978521299352	Washington Capitals
177 Alex Newhook	0.6796595694220713	Colorado Avalanche
178 Barclay Goodrow	0.678525797440649	New York Rangers
179 Blake Coleman	0.6783637500694358	Calgary Flames
180 Adam Lowry	0.6745963388169957	Winnipeg Jets
181 Andrei Kuzmenko	0.6736685346130621	Vancouver Canucks
182 Wyatt Johnston	0.6715805888707225	Dallas Stars
183 JJ Peterka	0.6684795407713648	Buffalo Sabres
184 Jamie Benn	0.6671361613701924	Dallas Stars
185 Viktor Arvidsson	0.6641217765935347	Los Angeles Kings
186 Conor Garland	0.6620660168589529	Vancouver Canucks
187 Brandon Tanev	0.6604129967916919	Seattle Kraken
188 Josh Anderson	0.6596892283648967	Montréal Canadiens
189 Morgan Frost	0.6593133484106567	Philadelphia Flyers
190 Colton Sissons	0.657264035531317	Nashville Predators
191 David Kampf	0.654981136414766	Toronto Maple Leafs
192 Mason McTavish	0.6531227520509456	Anaheim Ducks
193 Nicolas Roy	0.6503930337974058	Vegas Golden Knights
194 Noel Acciari	0.649489067195222	St. Louis Blues
195 Matias Maccelli	0.6483648318724625	Arizona Coyotes
196 Eetu Luostarinen	0.6449485608692135	Florida Panthers
197 Yegor Sharangovich	0.6434807262479343	New Jersey Devils
198 Barrett Hayton	0.6389235446149513	Arizona Coyotes
199 Jason Zucker	0.6389077937263605	Pittsburgh Penguins
200 Jack Roslovic	0.6364298311976658	Columbus Blue Jackets
201 Nick Bonino	0.6339554198529543	San Jose Sharks
202 Jesper Fast	0.6327085319695799	Carolina Hurricanes
203 Ty Dellandrea	0.6259366730966212	Dallas Stars
204 Matt Nieto	0.6178343262358711	San Jose Sharks
205 Jared McCann	0.616507526509927	Seattle Kraken
206 Anthony Beauvillier	0.6154785826822781	New York Islanders
207 Sam Steel	0.6129180256026447	Minnesota Wild
208 Victor Olofsson	0.6105426249228486	Buffalo Sabres
209 Jesse Puljujarvi	0.609328034846069	Edmonton Oilers
210 Yegor Chinakhov	0.6092776712685668	Columbus Blue Jackets
211 Andrew Cogliano	0.6066179999446357	Colorado Avalanche
212 Sean Monahan	0.6060059891475341	Montréal Canadiens
213 Owen Tippett	0.6044296991725562	Philadelphia Flyers
214 Michael Rasmussen	0.6040814286165775	Detroit Red Wings
215 David Krejci	0.6034031703976357	Boston Bruins
216 Jimmy Vesey	0.5922910360856111	New York Rangers
217 Jake Evans	0.588649534615004	Montréal Canadiens
218 Josh Bailey	0.5875558193183164	New York Islanders
219 Jakob Silfverberg	0.5846480313193321	Anaheim Ducks
220 Miles Wood	0.5834583807782485	New Jersey Devils
221 Pavel Buchnevich	0.5776149825393764	St. Louis Blues
222 Cole Sillinger	0.575355184395241	Columbus Blue Jackets
223 Jack McBain	0.5729687197885225	Arizona Coyotes
224 Pius Suter	0.5726790993904357	Detroit Red Wings
225 Casey Cizikas	0.5669587986202836	New York Islanders
226 Zack MacEwen	0.5662932022869669	Philadelphia Flyers
227 Jeff Carter	0.5660961162569494	Pittsburgh Penguins
228 Jason Dickinson	0.5644104889769488	Chicago Blackhawks
229 Radek Faksa	0.5581387473198779	Dallas Stars
230 Brandon Saad	0.5563328254721478	St. Louis Blues
231 Nic Dowd	0.55222052327946	Washington Capitals
232 Trevor Lewis	0.5481769391249796	Calgary Flames
233 Nils Aman	0.5414543425170657	Vancouver Canucks
234 William Carrier	0.5392763714117317	Vegas Golden Knights
235 Brock McGinn	0.5322011345926336	Pittsburgh Penguins
236 Tyler Motte	0.531180539234153	Ottawa Senators
237 Liam O'Brien	0.5247192334549594	Arizona Coyotes
238 Oliver Wahlstrom	0.5225994607505913	New York Islanders
239 Brad Marchand	0.5188997240758595	Boston Bruins
240 Eric Robinson	0.5171885979133499	Columbus Blue Jackets
241 Joel Kiviranta	0.5155904951142216	Dallas Stars
242 Joe Veleno	0.511008478525846	Detroit Red Wings
243 Michael McLeod	0.5094946697009199	New Jersey Devils
244 Marcus Foligno	0.5092066019715218	Minnesota Wild
245 Garnet Hathaway	0.5067006529343827	Washington Capitals
246 Sean Kuraly	0.5045408062264036	Columbus Blue Jackets
247 Phil Kessel	0.5045351174322398	Vegas Golden Knights
248 Evgenii Dadonov	0.5032837209376146	Montréal Canadiens
249 Corey Perry	0.5029419681304553	Tampa Bay Lightning
250 Zemgus Girgensons	0.5013578657049049	Buffalo Sabres
251 Vladislav Namestnikov	0.4955771521446204	Tampa Bay Lightning
252 Nick Foligno	0.4926382603281628	Boston Bruins
253 Brock Boeser	0.49238418927321426	Vancouver Canucks
254 Kent Johnson	0.4897677675011576	Columbus Blue Jackets
255 Anton Lundell	0.4870318867643132	Florida Panthers
256 Jujhar Khaira	0.4861669526666967	Chicago Blackhawks
257 Pierre Engvall	0.48540275502413444	Toronto Maple Leafs
258 Aliaksei Protas	0.4812281791437928	Washington Capitals
259 Yakov Trenin	0.4804545038692954	Nashville Predators
260 Lukas Sedlak	0.47829055474926885	Philadelphia Flyers
261 MacKenzie Entwistle	0.47655870384942806	Chicago Blackhawks
262 Oskar Sundqvist	0.4748704437965985	Detroit Red Wings
263 Mathieu Joseph	0.4731644754658303	Ottawa Senators
264 Stefan Noesen	0.47205277127576595	Carolina Hurricanes
265 Carl Grundstrom	0.4720434280641281	Los Angeles Kings
266 Tomas Nosek	0.4703862424078504	Boston Bruins
267 Sam Gagner	0.4685935889817353	Winnipeg Jets
268 Blake Lizotte	0.46464129703273976	Los Angeles Kings
269 Luke Glendening	0.46266694461357266	Dallas Stars
270 Arthur Kaliyev	0.4561686793372948	Los Angeles Kings
271 Evan Rodrigues	0.4504910979204325	Colorado Avalanche
272 Ross Colton	0.4494577313621268	Tampa Bay Lightning
273 Kyle Okposo	0.44911719980709847	Buffalo Sabres
274 Jack Quinn	0.4440141481200024	Buffalo Sabres
275 Nick Ritchie	0.4436944964842361	Arizona Coyotes
276 Fabian Zetterlund	0.44223991333389545	New Jersey Devils
277 Cole Smith	0.4420136349673437	Nashville Predators
278 Max Jones	0.4408213169845373	Anaheim Ducks
279 Zach Aston-Reese	0.4404834220560822	Toronto Maple Leafs
280 Keegan Kolesar	0.4392862030606059	Vegas Golden Knights
281 Filip Chytil	0.4319920519561896	New York Rangers
282 Sam Lafferty	0.43181795100969	Chicago Blackhawks
283 Colin White	0.4298873234837555	Florida Panthers
284 Nico Sturm	0.4278676647168656	San Jose Sharks
285 Matt Martin	0.42454532733085637	New York Islanders
286 Steven Lorentz	0.42142458192131577	San Jose Sharks
287 Colin Blackwell	0.42078456725187646	Chicago Blackhawks
288 Kyle Palmieri	0.42034105823687284	New York Islanders
289 Paul Stastny	0.41480281402394453	Carolina Hurricanes
290 Patrik Laine	0.4120156846932271	Columbus Blue Jackets
291 Danton Heinen	0.4119070908455299	Pittsburgh Penguins
292 T.J. Oshie	0.4059510350413267	Washington Capitals
293 Connor Dewar	0.4032184840776148	Minnesota Wild
294 Nicolas Deslauriers	0.3987250994509194	Philadelphia Flyers
295 Ryan Lomberg	0.3955007746094143	Florida Panthers
296 Isac Lundestrom	0.39482597237732947	Anaheim Ducks
297 Nils Hoglander	0.39299693740640373	Vancouver Canucks
298 Brendan Gallagher	0.39165302439964966	Montréal Canadiens
299 Teuvo Teravainen	0.3881601507899288	Carolina Hurricanes
300 Tyson Jost	0.3856695529231264	Buffalo Sabres
301 Pat Maroon	0.38543530460968534	Tampa Bay Lightning
302 Nick Cousins	0.38316878054810605	Florida Panthers
303 Derek Ryan	0.3790888253196142	Edmonton Oilers
304 Saku Maenalanen	0.37903059424391033	Winnipeg Jets
305 Pierre-Edouard Bellemare	0.3738184627264828	Tampa Bay Lightning
306 Calle Jarnkrok	0.3735449511638289	Toronto Maple Leafs
307 Ryan Poehling	0.37045484097677694	Pittsburgh Penguins
308 Denis Gurianov	0.3690790643831073	Dallas Stars
309 Cal Clutterbuck	0.3679471694790117	New York Islanders
310 Trent Frederic	0.36364639272347377	Boston Bruins
311 Oskar Lindblom	0.36101879789135155	San Jose Sharks
312 Ryan McLeod	0.3577266675058224	Edmonton Oilers
313 Eric Staal	0.3538884829365644	Florida Panthers
314 Kailer Yamamoto	0.35208852513093575	Edmonton Oilers
