Forward	Penalty Kill Utilization Base	Team
175 Vladislav Namestnikov	0.1276465517241379	Tampa Bay Lightning
176 Vincent Trocheck	0.12511800000000006	New York Rangers
177 Derek Stepan	0.12242580645161294	Carolina Hurricanes
178 Sean Monahan	0.12192424242424242	Montréal Canadiens
179 Mikael Granlund	0.12070151515151512	Nashville Predators
180 Dylan Gambrell	0.11922580645161295	Ottawa Senators
181 Roope Hintz	0.1163555555555555	Dallas Stars
182 Valeri Nichushkin	0.11490808823529411	Colorado Avalanche
183 Derek Grant	0.11372463768115942	Anaheim Ducks
184 Steven Lorentz	0.11187727272727269	San Jose Sharks
185 Rasmus Asplund	0.11158958333333331	Buffalo Sabres
186 Leon Draisaitl	0.11139767441860465	Edmonton Oilers
187 Evan Rodrigues	0.10955147058823528	Colorado Avalanche
188 Marcus Johansson	0.10745600000000004	Washington Capitals
189 Mathieu Olivier	0.1039860294117647	Columbus Blue Jackets
190 Martin Necas	0.10136774193548391	Carolina Hurricanes
191 Mason Appleton	0.10133333333333334	Winnipeg Jets
192 Casey Mittelstadt	0.09914374999999997	Buffalo Sabres
193 Sam Carrick	0.09592028985507246	Anaheim Ducks
194 Cole Sillinger	0.0946389705882353	Columbus Blue Jackets
195 Blake Wheeler	0.09436666666666667	Winnipeg Jets
196 Liam O'Brien	0.09311141304347828	Arizona Coyotes
197 Boone Jenner	0.08607083333333333	Columbus Blue Jackets
198 Tyler Toffoli	0.0859531609195402	Calgary Flames
199 Claude Giroux	0.08526451612903228	Ottawa Senators
200 Jayson Megna	0.08501449275362319	Anaheim Ducks
201 Carl Grundstrom	0.08405454545454547	Los Angeles Kings
202 Pierre Engvall	0.08320430107526885	Toronto Maple Leafs
203 Jack Eichel	0.08252999999999998	Vegas Golden Knights
204 Mark Kastelic	0.07979354838709679	Ottawa Senators
205 Alexey Toropchenko	0.07809770114942528	St. Louis Blues
206 Liam Foudy	0.07594485294117646	Columbus Blue Jackets
207 Kaapo Kakko	0.07585200000000003	New York Rangers
208 Kasperi Kapanen	0.07351728395061725	Pittsburgh Penguins
209 Rasmus Kupari	0.07314166666666667	Los Angeles Kings
210 Brayden Schenn	0.07240459770114943	St. Louis Blues
211 Kyle Connor	0.07163000000000001	Winnipeg Jets
212 Jesper Boqvist	0.0708740740740741	New Jersey Devils
213 Jared McCann	0.06967276422764229	Seattle Kraken
214 Warren Foegele	0.06768837209302327	Edmonton Oilers
215 Travis Boyd	0.06708858695652174	Arizona Coyotes
216 Dakota Joshua	0.066495	Vancouver Canucks
217 Steven Stamkos	0.06572844827586205	Tampa Bay Lightning
218 Anthony Beauvillier	0.06360972222222223	New York Islanders
219 Trent Frederic	0.06334920634920635	Boston Bruins
220 Brett Howden	0.06327999999999999	Vegas Golden Knights
221 Matthew Tkachuk	0.06211592592592593	Florida Panthers
222 Jack Quinn	0.06174583333333332	Buffalo Sabres
223 Ryan Hartman	0.05997864583333336	Minnesota Wild
224 Ryan Lomberg	0.059966111111111116	Florida Panthers
225 Brandon Duhaime	0.05644088541666669	Minnesota Wild
226 Evgenii Dadonov	0.05214772727272727	Montréal Canadiens
227 Jaden Schwartz	0.05198475609756098	Seattle Kraken
228 Matty Beniers	0.04994613821138212	Seattle Kraken
229 Derick Brassard	0.04614193548387098	Ottawa Senators
230 Clayton Keller	0.045564130434782614	Arizona Coyotes
231 Tomas Hertl	0.04550416666666665	San Jose Sharks
232 Nathan Walker	0.04313620689655172	St. Louis Blues
233 Rem Pitlick	0.04156060606060606	Montréal Canadiens
234 Ryan Strome	0.04118840579710145	Anaheim Ducks
235 Josh Norris	0.04118709677419356	Ottawa Senators
236 Peyton Krebs	0.03757916666666666	Buffalo Sabres
237 William Nylander	0.036872043010752704	Toronto Maple Leafs
238 Morgan Frost	0.035974479166666684	Philadelphia Flyers
239 Jordan Greenway	0.03586744791666668	Minnesota Wild
240 Kevin Hayes	0.03578776041666669	Philadelphia Flyers
241 Michael Pezzetta	0.03343560606060606	Montréal Canadiens
242 Jonas Rondbjerg	0.033249999999999995	Vegas Golden Knights
243 Evander Kane	0.03237906976744186	Edmonton Oilers
244 Boris Katchouk	0.030944117647058823	Chicago Blackhawks
245 Connor Brown	0.030298666666666675	Washington Capitals
246 Timo Meier	0.030192045454545444	San Jose Sharks
247 Darren Helm	0.029950980392156858	Colorado Avalanche
248 Joe Veleno	0.029737500000000014	Detroit Red Wings
249 Matt Boldy	0.029172916666666677	Minnesota Wild
250 Rourke Chartier	0.02880000000000001	Ottawa Senators
251 Tanner Pearson	0.02860611111111111	Vancouver Canucks
252 Drew O'Connor	0.028323148148148132	Pittsburgh Penguins
253 Jonathan Huberdeau	0.027640229885057464	Calgary Flames
254 Nick Schmaltz	0.02742554347826087	Arizona Coyotes
255 William Carrier	0.027369999999999995	Vegas Golden Knights
256 Mark Scheifele	0.02729666666666667	Winnipeg Jets
257 Eeli Tolvanen	0.027221544715447157	Seattle Kraken
258 MacKenzie Entwistle	0.02705294117647059	Chicago Blackhawks
259 Martin Kaut	0.024133578431372545	Colorado Avalanche
260 Oskar Lindblom	0.0239560606060606	San Jose Sharks
261 Keegan Kolesar	0.023729999999999998	Vegas Golden Knights
262 William Lockwood	0.023680555555555555	Vancouver Canucks
263 Nick Foligno	0.0226984126984127	Boston Bruins
264 Jonny Brodzinski	0.02217600000000001	New York Rangers
265 JJ Peterka	0.021568749999999994	Buffalo Sabres
266 Kirby Dach	0.02146969696969697	Montréal Canadiens
267 Tom Wilson	0.020853333333333342	Washington Capitals
268 Troy Terry	0.020644927536231886	Anaheim Ducks
269 Joe Pavelski	0.019911111111111105	Dallas Stars
270 Matias Maccelli	0.019783152173913045	Arizona Coyotes
271 Max Jones	0.019681159420289855	Anaheim Ducks
272 Max Comtois	0.01932608695652174	Anaheim Ducks
273 Wyatt Johnston	0.019081481481481474	Dallas Stars
274 Jack Studnicka	0.01843925925925926	Vancouver Canucks
275 Cody Glass	0.018374242424242418	Nashville Predators
276 Mats Zuccarello	0.017960937500000006	Minnesota Wild
277 Ondrej Palat	0.017837037037037044	New Jersey Devils
278 Jaret Anderson-Dolan	0.016953030303030303	Los Angeles Kings
279 Shane Pinto	0.01667096774193549	Ottawa Senators
280 Rafael Harvey-Pinard	0.01649621212121212	Montréal Canadiens
281 Simon Holmstrom	0.01590243055555556	New York Islanders
282 Jesperi Kotkaniemi	0.015690322580645163	Carolina Hurricanes
283 Andreas Athanasiou	0.015626470588235297	Chicago Blackhawks
284 David Krejci	0.015373015873015875	Boston Bruins
285 Jake Leschyshyn	0.014994000000000007	New York Rangers
286 Nazem Kadri	0.014814367816091948	Calgary Flames
