Forward	Penalty Kill Utilization Corrected	Team
143 Andrew Mangiapane	0.7097379711068693	Calgary Flames
144 Josh Anderson	0.7058113776389301	Montréal Canadiens
145 Jake DeBrusk	0.6864860777763688	Boston Bruins
146 Nicolas Deslauriers	0.6849181530536297	Philadelphia Flyers
147 Josh Archibald	0.6801301808440773	Pittsburgh Penguins
148 Zach Aston-Reese	0.6799509699080996	Toronto Maple Leafs
149 Anthony Cirelli	0.679565099364704	Tampa Bay Lightning
150 Joel Farabee	0.678323910804725	Philadelphia Flyers
151 Tyler Seguin	0.6704328260740294	Dallas Stars
152 Kailer Yamamoto	0.662744019802161	Edmonton Oilers
153 Philipp Kurashev	0.661290270588431	Chicago Blackhawks
154 Tage Thompson	0.6561970578509473	Buffalo Sabres
155 Mason Shaw	0.6535347297528635	Minnesota Wild
156 Sam Steel	0.653180715131579	Minnesota Wild
157 Marcus Foligno	0.6449922149125321	Minnesota Wild
158 Karson Kuhlman	0.6423653337443191	Winnipeg Jets
159 Oskar Sundqvist	0.6421013809350005	Detroit Red Wings
160 Axel Jonsson-Fjallby	0.6385959204301752	Winnipeg Jets
161 Pius Suter	0.6366314066693172	Detroit Red Wings
162 Jamie Benn	0.636392230993971	Dallas Stars
163 Brock Nelson	0.6361075932982679	New York Islanders
164 Alex Iafallo	0.6160221212442757	Los Angeles Kings
165 Nathan Bastian	0.6070090914690734	New Jersey Devils
166 Patrick Brown	0.5974474605675019	Philadelphia Flyers
167 Ivan Barbashev	0.5965324090479893	St. Louis Blues
168 Curtis Lazar	0.5934052672485358	Vancouver Canucks
169 Tim Stützle	0.5864027391391503	Ottawa Senators
170 Saku Maenalanen	0.5793455939080033	Winnipeg Jets
171 Kevin Stenlund	0.5775714944535614	Winnipeg Jets
172 Mark Jankowski	0.5749666851185259	Nashville Predators
173 Reese Johnson	0.5707749051408619	Chicago Blackhawks
174 Zach Hyman	0.5680035702849	Edmonton Oilers
175 Vladislav Namestnikov	0.5674382236836729	Tampa Bay Lightning
176 Vincent Trocheck	0.5585051877285002	New York Rangers
177 Derek Stepan	0.5489523614780583	Carolina Hurricanes
178 Sean Monahan	0.5471684293308745	Montréal Canadiens
