Forward	Plus_Minus Corrected	Team
169 Cal Clutterbuck	0.6068401866570803	New York Islanders
170 Jesperi Kotkaniemi	0.6061076081717414	Carolina Hurricanes
171 Adam Ruzicka	0.6039070205611737	Calgary Flames
172 Lawson Crouse	0.6009663608897814	Arizona Coyotes
173 Lane Pederson	0.6009663608897814	Vancouver Canucks
174 Fabian Zetterlund	0.5935832037842987	New Jersey Devils
175 Barclay Goodrow	0.5921013680660507	New York Rangers
176 Josh Bailey	0.5898754786509407	New York Islanders
177 Ryan McLeod	0.5839219789536394	Edmonton Oilers
178 Jack Quinn	0.5816829890701934	Buffalo Sabres
179 Dillon Dube	0.5786924409639926	Calgary Flames
180 Tyler Johnson	0.5741958385585653	Chicago Blackhawks
181 Artemi Panarin	0.5734451891972032	New York Rangers
182 Adam Lowry	0.5726942013062434	Winnipeg Jets
183 Jonatan Berggren	0.5704392395980841	Detroit Red Wings
184 Michael Eyssimont	0.5644119428494033	San Jose Sharks
185 Travis Konecny	0.5621466903683465	Philadelphia Flyers
186 Joe Veleno	0.5613910251962774	Detroit Red Wings
187 Brock McGinn	0.5591223342010286	Pittsburgh Penguins
188 Brett Howden	0.5591223342010286	Vegas Golden Knights
189 Alex Newhook	0.5538192698286865	Colorado Avalanche
190 Sam Bennett	0.5507833585362129	Florida Panthers
191 James van Riemsdyk	0.5500237801344326	Philadelphia Flyers
192 Jordan Greenway	0.5492639684330184	Minnesota Wild
193 Nikolaj Ehlers	0.5469831682878306	Winnipeg Jets
194 Brandon Duhaime	0.5454615321540323	Minnesota Wild
195 Kevin Fiala	0.5424157391532077	Los Angeles Kings
196 Matt Boldy	0.5408916383497885	Minnesota Wild
197 Michael Carcone	0.532496159339899	Arizona Coyotes
198 Claude Giroux	0.5309675886035222	Ottawa Senators
199 Scott Laughton	0.5302030834664183	Philadelphia Flyers
200 Nicolas Aube-Kubel	0.5302030834664183	Washington Capitals
201 Ryan Hartman	0.5271436809145628	Minnesota Wild
202 Colin White	0.521784955698623	Florida Panthers
203 Rafael Harvey-Pinard	0.521784955698623	Montréal Canadiens
204 Noel Acciari	0.5187204946912024	St. Louis Blues
205 Ryan Poehling	0.5148879639401706	Pittsburgh Penguins
206 Derek Stepan	0.5133544359208737	Carolina Hurricanes
207 Kyle Palmieri	0.5125875758087809	New York Islanders
208 Nico Sturm	0.5049163106780775	San Jose Sharks
209 Paul Stastny	0.5026143152053903	Carolina Hurricanes
210 Cole Smith	0.5010795839555633	Nashville Predators
211 Brock Nelson	0.4995448323625553	New York Islanders
212 Mason Marchment	0.4987774579749152	Dallas Stars
213 Connor Brown	0.49877745797491496	Washington Capitals
214 Filip Forsberg	0.49724273009236064	Nashville Predators
215 Anthony Beauvillier	0.49570805416518793	New York Islanders
216 Matt Martin	0.49494074472085703	New York Islanders
217 Trevor Moore	0.4934062009395859	Los Angeles Kings
218 Max Pacioretty	0.49263897382881006	Carolina Hurricanes
219 Saku Maenalanen	0.49033751496061856	Winnipeg Jets
220 Nicklas Backstrom	0.48113674841640264	Washington Capitals
221 Morgan Barron	0.47118386220280395	Winnipeg Jets
222 Karson Kuhlman	0.4696544818125169	Winnipeg Jets
223 Matias Maccelli	0.4673614883393914	Arizona Coyotes
224 Ivan Barbashev	0.4673614883393914	St. Louis Blues
225 Nick Bonino	0.4643063236870392	San Jose Sharks
226 Anders Lee	0.46277973093795854	New York Islanders
227 JJ Peterka	0.46201669435056725	Buffalo Sabres
228 Kirby Dach	0.46049115841811855	Montréal Canadiens
229 Nicholas Robertson	0.458204250528523	Toronto Maple Leafs
230 Jonathan Marchessault	0.45744233425092745	Vegas Golden Knights
231 Kevin Stenlund	0.45591910230578236	Winnipeg Jets
232 Dylan Strome	0.45211468948721767	Washington Capitals
233 Mason Shaw	0.4467979961552176	Minnesota Wild
234 Andrew Mangiapane	0.4452811191373641	Calgary Flames
235 Sonny Milano	0.4445230609397277	Washington Capitals
236 Peyton Krebs	0.4430077223722815	Buffalo Sabres
237 Trevor Lewis	0.440736710562087	Calgary Flames
238 John Tavares	0.43998025259421525	Toronto Maple Leafs
239 Warren Foegele	0.4384681760883081	Edmonton Oilers
240 Tommy Novak	0.4384681760883081	Nashville Predators
241 Josh Leivo	0.4384681760883081	St. Louis Blues
242 Mike Hoffman	0.4369572415052406	Montréal Canadiens
243 Sean Monahan	0.43469304009415244	Montréal Canadiens
244 Tomas Hertl	0.43469304009415244	San Jose Sharks
245 Jonny Brodzinski	0.4339389066052105	New York Rangers
246 Nick Schmaltz	0.43167835424454365	Arizona Coyotes
247 Patrik Laine	0.43167835424454365	Columbus Blue Jackets
248 Nick Suzuki	0.42716586751958474	Montréal Canadiens
249 Miles Wood	0.42641494244438105	New Jersey Devils
250 Phillip Danault	0.42416421530257875	Los Angeles Kings
251 Yegor Sharangovich	0.4234146666085599	New Jersey Devils
252 Liam O'Brien	0.4189248877606142	Arizona Coyotes
253 Kevin Hayes	0.4181778739529406	Philadelphia Flyers
254 Craig Smith	0.4144484964935265	Boston Bruins
255 Jeff Carter	0.41072889938005797	Pittsburgh Penguins
