Rating Date,Team,Division,Special Teams
22/10/2022 (v6.0),St. Louis Blues,CEN,0.9818451471778402
22/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.7886045884451789
22/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.7029514777992956
22/10/2022 (v6.0),Vancouver Canucks,PAC,0.010524985734366894
22/10/2022 (v6.0),Vegas Golden Knights,PAC,0.11505249557049461
22/10/2022 (v6.0),Washington Capitals,MET,0.1933259048966536
22/10/2022 (v6.0),Winnipeg Jets,CEN,0.08134837307871151
31/10/2022 (v6.0),Anaheim Ducks,PAC,0.004809908958197285
31/10/2022 (v6.0),Arizona Coyotes,CEN,0.8886323333192473
31/10/2022 (v6.0),Boston Bruins,ATL,0.9618794488095301
31/10/2022 (v6.0),Buffalo Sabres,ATL,0.6264543198867898
31/10/2022 (v6.0),Calgary Flames,CEN,0.8688871387506649
31/10/2022 (v6.0),Carolina Hurricanes,MET,0.3423537361837061
31/10/2022 (v6.0),Chicago Blackhawks,CEN,0.5910921571762346
31/10/2022 (v6.0),Colorado Avalanche,CEN,0.8413523208228113
31/10/2022 (v6.0),Columbus Blue Jackets,MET,0.029486094360092422
31/10/2022 (v6.0),Dallas Stars,CEN,0.7418376426095993
31/10/2022 (v6.0),Detroit Red Wings,ATL,0.44380551876216473
31/10/2022 (v6.0),Edmonton Oilers,PAC,0.8645979846881935
31/10/2022 (v6.0),Florida Panthers,ATL,0.04948187521054996
31/10/2022 (v6.0),Los Angeles Kings,PAC,0.4807150347335889
31/10/2022 (v6.0),Minnesota Wild,CEN,0.7085638277053983
31/10/2022 (v6.0),Montréal Canadiens,ATL,0.20148792606493912
31/10/2022 (v6.0),Nashville Predators,CEN,0.2168404288902863
31/10/2022 (v6.0),New Jersey Devils,MET,0.9073002367028428
31/10/2022 (v6.0),New York Islanders,MET,0.7975768298935172
31/10/2022 (v6.0),New York Rangers,MET,0.6351034279628709
31/10/2022 (v6.0),Ottawa Senators,ATL,0.582086302142726
31/10/2022 (v6.0),Philadelphia Flyers,MET,0.6000372907606059
31/10/2022 (v6.0),Pittsburgh Penguins,MET,0.2431252003855861
31/10/2022 (v6.0),San Jose Sharks,PAC,0.8413523208228113
31/10/2022 (v6.0),Seattle Kraken,PAC,0.23635652367845378
31/10/2022 (v6.0),St. Louis Blues,CEN,0.6264543198867898
31/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.6850340602627559
31/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.4992746419811541
31/10/2022 (v6.0),Vancouver Canucks,PAC,0.09536913270314644
31/10/2022 (v6.0),Vegas Golden Knights,PAC,0.36786019824459454
31/10/2022 (v6.0),Washington Capitals,MET,0.6089162116611345
31/10/2022 (v6.0),Winnipeg Jets,CEN,0.1985168751820742
06/11/2022 (v6.1),Anaheim Ducks,PAC,0.0060062185440934
06/11/2022 (v6.1),Arizona Coyotes,CEN,0.8878032249051269
06/11/2022 (v6.1),Boston Bruins,ATL,0.967411179079229
06/11/2022 (v6.1),Buffalo Sabres,ATL,0.5081971724068415
06/11/2022 (v6.1),Calgary Flames,CEN,0.5706812881617338
06/11/2022 (v6.1),Carolina Hurricanes,MET,0.2616274233717045
06/11/2022 (v6.1),Chicago Blackhawks,CEN,0.2866710568585871
06/11/2022 (v6.1),Colorado Avalanche,CEN,0.8651371201634446
06/11/2022 (v6.1),Columbus Blue Jackets,MET,0.041638841712197686
06/11/2022 (v6.1),Dallas Stars,CEN,0.9482386040687867
06/11/2022 (v6.1),Detroit Red Wings,ATL,0.6874684964427751
06/11/2022 (v6.1),Edmonton Oilers,PAC,0.7138650895838167
06/11/2022 (v6.1),Florida Panthers,ATL,0.02455821746086778
06/11/2022 (v6.1),Los Angeles Kings,PAC,0.3221925033455508
06/11/2022 (v6.1),Minnesota Wild,CEN,0.487214053297887
06/11/2022 (v6.1),Montréal Canadiens,ATL,0.17635995342215507
06/11/2022 (v6.1),Nashville Predators,CEN,0.36961992136420857
06/11/2022 (v6.1),New Jersey Devils,MET,0.8050105583050088
06/11/2022 (v6.1),New York Islanders,MET,0.6964149795509242
06/11/2022 (v6.1),New York Rangers,MET,0.6874684964427757
06/11/2022 (v6.1),Ottawa Senators,ATL,0.2866710568585865
06/11/2022 (v6.1),Philadelphia Flyers,MET,0.6012200337877613
06/11/2022 (v6.1),Pittsburgh Penguins,MET,0.1921231140020875
06/11/2022 (v6.1),San Jose Sharks,PAC,0.9070690886759164
06/11/2022 (v6.1),Seattle Kraken,PAC,0.49245849759929095
06/11/2022 (v6.1),St. Louis Blues,CEN,0.5603685783122421
06/11/2022 (v6.1),Tampa Bay Lightning,ATL,0.7736487925313486
06/11/2022 (v6.1),Toronto Maple Leafs,ATL,0.6407093641458776
06/11/2022 (v6.1),Vancouver Canucks,PAC,0.1233654258337717
06/11/2022 (v6.1),Vegas Golden Knights,PAC,0.5239196157015931
06/11/2022 (v6.1),Washington Capitals,MET,0.5706812881617338
06/11/2022 (v6.1),Winnipeg Jets,CEN,0.6644921077326877
